L	N	Va	alpha	genlen	r	gen	kvar	zbar	ac_var	ac_cov	neut_ssh	sel_ssh	sel_het	neut_het	neut_ssh_delta	neut_ssh0	sel_ssh0	zvar0	var_type	variance	cov
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	16	2.0391791791791793	0.11509685234250844	0.0046833627275429755	-5.501297721919796e-4	64.20786036	57.238364315	0.11447672863	0.11677978312902403	0.9894269663216668	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.008424890857761451	4.2579775499243256e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	17	2.0407407407407407	0.12322052054087362	0.004634648654972502	-6.086355023199639e-4	63.52898849	56.64299855	0.11328599710000001	0.11554506654905242	0.9882146178808142	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.00825986077602608	4.1671814979961727e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	18	2.0165965965965964	0.13126246606954808	0.004580614068531108	-6.876850186479854e-4	62.780275085	55.98260739	0.11196521478	0.11418332378778508	0.9889556736720055	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.008059215559625549	4.0587712820894917e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	19	2.0344944944944947	0.13887252199642972	0.004529295344705429	-7.334091577315177e-4	62.08690924	55.35540852	0.11071081703999999	0.11292224589865772	0.9870894758683917	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.007827040262881958	3.9348936676331304e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	20	2.012832832832833	0.14671559623970654	0.00447040037870221	-8.10689279495965e-4	61.2853347	54.63561556	0.10927123111999999	0.11146436051798769	0.9857156011420136	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.007575719816422132	3.8018455319219603e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	21	2.025125125125125	0.15444689331035472	0.0044073957127866575	-8.750012967565838e-4	60.409910535	53.865595335	0.10773119067	0.10987215913389836	0.9876733984803938	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.00733138723544253	3.6727667900021243e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	22	2.030990990990991	0.1618741922810735	0.004354687589694647	-9.455660151213861e-4	59.66526164	53.22141573	0.10644283146	0.10851780881015603	0.986125826951121	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.007064781100322898	3.5330031909158694e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	23	2.0182182182182182	0.16876051019891	0.0042961959558767224	-0.0010190891364207553	58.837455475	52.50655215	0.1050131043	0.10701221395183877	0.9875917256430268	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.006772457647271184	3.380891511407104e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	24	2.0142742742742743	0.17535664229901834	0.00424148545840466	-0.0010707556941429704	58.107384185	51.83790025	0.1036758005	0.10568437704157724	0.9864454411251347	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.0065413724977667325	3.2598297786426867e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	25	2.0256256256256258	0.1815910972318569	0.004184128228984438	-0.001140660191681522	57.319764225	51.13690095	0.10227380189999999	0.10425187193081371	0.9861647150730234	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.006359521318848221	3.1636837039479803e-4
