N	rho	t0	t1	var	Ne	group
100	0	1	1	0.005221394046850361	96.24107246171069	A
100	0	2	2	0.004944804237507449	101.62435936338993	A
100	0	3	3	0.005447206929462278	92.25141789568033	A
100	0	4	4	0.004371467533968869	114.95282966400934	A
100	0	5	5	0.004506671874300035	111.5041380491273	A
100	0	6	6	0.005081879800618862	98.88320513855429	A
100	0	7	7	0.004922854833637207	102.07746923197277	A
100	0	8	8	0.005751597234458982	87.36921977140818	A
100	0	9	9	0.0050600176634872564	99.31043649119387	A
100	0	10	10	0.005150561264199583	97.56462199700924	A
100	0	11	11	0.005580983346165814	90.04014734415952	A
100	0	12	12	0.005739024357170626	87.56062555932628	A
100	0	13	13	0.005557372321394365	90.42269147228706	A
100	0	14	14	0.004693492376287744	107.06580996122254	A
100	0	15	15	0.005169270929043467	97.21149649764175	A
100	0	16	16	0.005063309069892371	99.24587969597363	A
100	0	17	17	0.004907400371628022	102.39893319471764	A
100	0	18	18	0.005938149018866812	84.62444462364903	A
100	0	19	19	0.005238535056769577	95.92616206026737	A
100	0	20	20	0.0050397371187683015	99.710074349450025	A
100	0	21	21	0.005391942030089376	93.19695204618897	A
100	0	22	22	0.005028009745513315	99.94263898602853	A
100	0	23	23	0.005277032934719676	95.22634575726114	A
100	0	24	24	0.004837330609412358	103.88220351040175	A
100	0	25	25	0.005510397787512285	91.1935185428662	A
100	0	26	26	0.005269500718107496	95.36246215648002	A
100	0	27	27	0.004605009904405511	109.12301455276518	A
100	0	28	28	0.0047928705646451296	104.84584468457831	A
100	0	29	29	0.004816051129606695	104.34120180428987	A
100	0	30	30	0.004407016689711631	114.02556382125972	A
100	0	31	31	0.005246949428181701	95.7723282246715	A
100	0	32	32	0.004593116949499238	109.4055667075615	A
100	0	33	33	0.005526958719114168	90.92026706771033	A
100	0	34	34	0.00396909169413809	126.60643833354263	A
100	0	35	35	0.004974562300399622	101.01643772231016	A
100	0	36	36	0.004749354340647351	105.80650058331432	A
100	0	37	37	0.005616027997122195	89.47828662385079	A
100	0	38	38	0.004615135712066012	108.88359393208732	A
100	0	39	39	0.004307129612549096	116.66994216983116	A
100	0	40	40	0.0042291866011422725	118.82014444062254	A
100	0	41	41	0.004486755548656912	111.99909541862493	A
100	0	42	42	0.005324344920952819	94.38016700167937	A
100	0	43	43	0.0047337127649256785	106.15611630207565	A
100	0	44	44	0.0064198680188291574	78.27459401660995	A
100	0	45	45	0.004797568189312397	104.74318300123882	A
100	0	46	46	0.004126296367817878	121.78295449965839	A
100	0	47	47	0.0056755538018413345	88.53982895044338	A
100	0	48	48	0.005550870997981165	90.5285968628766	A
100	0	49	49	0.004496922729973263	111.74587445425334	A
100	100	1	1	0.005023072275275209	100.040878425652	A
100	100	2	2	0.005063454395115061	99.24303125922621	A
100	100	3	3	0.005196535237845379	96.70146353562019	A
100	100	4	4	0.004949499610619002	101.52795279263076	A
100	100	5	5	0.005220255084313393	96.26207047316436	A
100	100	6	6	0.0051827694472849125	96.95830924474572	A
100	100	7	7	0.005295818551983626	94.88855365443874	A
100	100	8	8	0.0049948592527582596	100.60595051533694	A
100	100	9	9	0.004968159557719642	101.14662320642553	A
100	100	10	10	0.004917418828305815	102.19031169797664	A
100	100	11	11	0.004739367448998881	106.02945819704664	A
100	100	12	12	0.004922664317778133	102.0814198114735	A
100	100	13	13	0.004946070621290735	101.59833962963792	A
100	100	14	14	0.005257686886607197	95.57673814583953	A
100	100	15	15	0.004937406072081446	101.77663240127782	A
100	100	16	16	0.005574940093268276	90.13775115195459	A
100	100	17	17	0.004905364253886516	102.44143692610189	A
100	100	18	18	0.005429277503347388	92.55606524150761	A
100	100	19	19	0.004815821099908754	104.34618570519399	A
100	100	20	20	0.005412379604036575	92.84503297575328	A
100	100	21	21	0.005043236100004251	99.64089581561466	A
100	100	22	22	0.005129774321931328	97.95997470408747	A
100	100	23	23	0.00518351608676272	96.94434326100573	A
100	100	24	24	0.0050229276794362485	100.04375831874812	A
100	100	25	25	0.00498332813695808	100.83874651706435	A
100	100	26	26	0.00547512301764686	91.78105426936034	A
100	100	27	27	0.005149060166356385	97.59306486598348	A
100	100	28	28	0.004892147602876004	102.7181932365762	A
100	100	29	29	0.00490114427222619	102.52964101907979	A
100	100	30	30	0.004772581973225459	105.29155195933842	A
100	100	31	31	0.005154232917503528	97.49512116683005	A
100	100	32	32	0.005003686248750412	100.4284716971542	A
100	100	33	33	0.005532685427462153	90.8261583642165	A
100	100	34	34	0.005542153416778944	90.6709946521341	A
100	100	35	35	0.004981389972806785	100.87798095657377	A
100	100	36	36	0.004838040947425299	103.8669511636723	A
100	100	37	37	0.004989805316623508	100.70784949063095	A
100	100	38	38	0.0050409637603013304	99.68581142587543	A
100	100	39	39	0.0050754473973803815	99.00852545007854	A
100	100	40	40	0.004845506400161559	103.70692375874596	A
100	100	41	41	0.005074732117364683	99.02248063391885	A
100	100	42	42	0.005165041594132151	97.2910970136155	A
100	100	43	43	0.004983114950209413	100.84306058260859	A
100	100	44	44	0.005116432571125686	98.2154178381971	A
100	100	45	45	0.005302262247275217	94.77323817250021	A
100	100	46	46	0.005133447144479023	97.88988737412407	A
100	100	47	47	0.0047244474952193825	106.36430256078778	A
100	100	48	48	0.005093260023697933	98.66226355536114	A
100	100	49	49	0.005486246183293223	91.59497150243223	A
100	2e3	1	1	0.005327963622346835	94.31606490449836	A
100	2e3	2	2	0.005360689469346323	93.74028577621493	A
100	2e3	3	3	0.005223107522203332	96.20949993426305	A
100	2e3	4	4	0.005241769199931856	95.86697613862951	A
100	2e3	5	5	0.005222595833070283	96.21892615777067	A
100	2e3	6	6	0.005169950877981901	97.19871129805144	A
100	2e3	7	7	0.005128970084026438	97.97533512216916	A
