L	N	Va	genlen	r	t0	t1	cov	gen
10	100	0.01	0.01	0.009900663346622374	5	29	-9.696479538227308e-5	29
10	100	0.01	0.01	0.009900663346622374	5	30	0.0011591543352354626	30
10	100	0.01	0.01	0.009900663346622374	5	31	1.502952891173384e-4	31
10	100	0.01	0.01	0.009900663346622374	5	32	-4.262255149247384e-6	32
10	100	0.01	0.01	0.009900663346622374	5	33	-2.3607349485134984e-4	33
10	100	0.01	0.01	0.009900663346622374	5	34	3.0572175514016644e-4	34
10	100	0.01	0.01	0.009900663346622374	5	35	4.552367820581773e-4	35
10	100	0.01	0.01	0.009900663346622374	5	36	1.999411578585445e-4	36
10	100	0.01	0.01	0.009900663346622374	5	37	-1.9589168402803624e-4	37
10	100	0.01	0.01	0.009900663346622374	5	38	-1.1185823533382106e-4	38
10	100	0.01	0.01	0.009900663346622374	5	39	-0.0013594201083745039	39
10	100	0.01	0.01	0.009900663346622374	5	40	3.6975480808360076e-4	40
10	100	0.01	0.01	0.009900663346622374	5	41	5.682403497858922e-4	41
10	100	0.01	0.01	0.009900663346622374	5	42	-4.151482115511451e-4	42
10	100	0.01	0.01	0.009900663346622374	5	43	-5.4253575217115554e-5	43
10	100	0.01	0.01	0.009900663346622374	5	44	2.7922944479719638e-5	44
10	100	0.01	0.01	0.009900663346622374	5	45	2.5136537324031126e-5	45
10	100	0.01	0.01	0.009900663346622374	5	46	-3.08469296706448e-4	46
10	100	0.01	0.01	0.009900663346622374	5	47	-5.931348842982598e-5	47
10	100	0.01	0.01	0.009900663346622374	5	48	1.2412929937791789e-4	48
10	100	0.01	0.01	0.009900663346622374	5	49	9.030372193443437e-4	49
10	100	0.01	0.01	0.009900663346622374	5	50	NA	50
10	100	0.01	0.1	0.09063462346100909	2	5	1.0279633831568331e-4	2
10	100	0.01	0.1	0.09063462346100909	3	5	-1.3427026968026448e-4	3
10	100	0.01	0.1	0.09063462346100909	4	5	-2.8173369319687e-4	4
10	100	0.01	0.1	0.09063462346100909	5	6	2.4613433763493115e-4	6
10	100	0.01	0.1	0.09063462346100909	5	7	2.4293826523256125e-4	7
10	100	0.01	0.1	0.09063462346100909	5	8	7.544991211240552e-4	8
10	100	0.01	0.1	0.09063462346100909	5	9	5.33365380468889e-4	9
10	100	0.01	0.1	0.09063462346100909	5	10	3.1231571498019833e-4	10
10	100	0.01	0.1	0.09063462346100909	5	11	3.989121430561314e-4	11
10	100	0.01	0.1	0.09063462346100909	5	12	8.042517938482567e-4	12
10	100	0.01	0.1	0.09063462346100909	5	13	4.619555023753406e-4	13
10	100	0.01	0.1	0.09063462346100909	5	14	5.150083652344661e-4	14
10	100	0.01	0.1	0.09063462346100909	5	15	4.049500287720018e-4	15
10	100	0.01	0.1	0.09063462346100909	5	16	2.1403798067367541e-4	16
10	100	0.01	0.1	0.09063462346100909	5	17	3.931672650840799e-4	17
10	100	0.01	0.1	0.09063462346100909	5	18	2.6040146187803886e-4	18
10	100	0.01	0.1	0.09063462346100909	5	19	3.437381603208724e-4	19
10	100	0.01	0.1	0.09063462346100909	5	20	4.6236180302086806e-4	20
10	100	0.01	0.1	0.09063462346100909	5	21	4.6745865282416313e-4	21
10	100	0.01	0.1	0.09063462346100909	5	22	1.7068810909092404e-4	22
10	100	0.01	0.1	0.09063462346100909	5	23	4.0164841121567815e-4	23
10	100	0.01	0.1	0.09063462346100909	5	24	2.592353573361051e-4	24
10	100	0.01	0.1	0.09063462346100909	5	25	1.033892836560745e-4	25
10	100	0.01	0.1	0.09063462346100909	5	26	3.814804042872736e-4	26
10	100	0.01	0.1	0.09063462346100909	5	27	1.1256856437872564e-4	27
10	100	0.01	0.1	0.09063462346100909	5	28	-1.1900213580716424e-4	28
10	100	0.01	0.1	0.09063462346100909	5	29	5.91896024049004e-5	29
10	100	0.01	0.1	0.09063462346100909	5	30	3.762338079114753e-4	30
