L	N	Va	genlen	r	t0	t1	cov	gen
500	1e3	0.01	0.5	0.31606027941427883	5	48	2.0940797836927786e-5	48
500	1e3	0.01	0.5	0.31606027941427883	5	49	9.783431768223448e-6	49
500	1e3	0.01	0.5	0.31606027941427883	5	50	8.471875418320271e-6	50
500	1e3	0.01	1.5	0.475106465816068	2	5	-5.116610341964801e-8	2
500	1e3	0.01	1.5	0.475106465816068	3	5	-6.840315556288119e-6	3
500	1e3	0.01	1.5	0.475106465816068	4	5	-5.747665985694651e-6	4
500	1e3	0.01	1.5	0.475106465816068	5	6	7.764963875734072e-6	6
500	1e3	0.01	1.5	0.475106465816068	5	7	1.1811176489594587e-5	7
500	1e3	0.01	1.5	0.475106465816068	5	8	1.1170871883091442e-5	8
500	1e3	0.01	1.5	0.475106465816068	5	9	1.9881005571339217e-6	9
500	1e3	0.01	1.5	0.475106465816068	5	10	1.1788410717977452e-5	10
500	1e3	0.01	1.5	0.475106465816068	5	11	3.912664180967695e-6	11
500	1e3	0.01	1.5	0.475106465816068	5	12	9.652590894461848e-6	12
500	1e3	0.01	1.5	0.475106465816068	5	13	3.857864442871271e-6	13
500	1e3	0.01	1.5	0.475106465816068	5	14	5.92725858677986e-6	14
500	1e3	0.01	1.5	0.475106465816068	5	15	8.848944860376325e-6	15
500	1e3	0.01	1.5	0.475106465816068	5	16	1.489470538337954e-5	16
500	1e3	0.01	1.5	0.475106465816068	5	17	5.728044472447219e-6	17
500	1e3	0.01	1.5	0.475106465816068	5	18	1.2177351271338774e-5	18
500	1e3	0.01	1.5	0.475106465816068	5	19	4.462828378469261e-6	19
500	1e3	0.01	1.5	0.475106465816068	5	20	9.684238811728231e-6	20
500	1e3	0.01	1.5	0.475106465816068	5	21	7.752861820004864e-6	21
500	1e3	0.01	1.5	0.475106465816068	5	22	1.5866220997950676e-5	22
500	1e3	0.01	1.5	0.475106465816068	5	23	8.072404005138407e-6	23
500	1e3	0.01	1.5	0.475106465816068	5	24	8.219832549700123e-6	24
500	1e3	0.01	1.5	0.475106465816068	5	25	5.643797947954444e-6	25
500	1e3	0.01	1.5	0.475106465816068	5	26	6.711291776256869e-6	26
500	1e3	0.01	1.5	0.475106465816068	5	27	1.3760751924393747e-5	27
500	1e3	0.01	1.5	0.475106465816068	5	28	1.3942196542595102e-6	28
500	1e3	0.01	1.5	0.475106465816068	5	29	7.55008840711377e-6	29
500	1e3	0.01	1.5	0.475106465816068	5	30	1.2949049853235271e-5	30
500	1e3	0.01	1.5	0.475106465816068	5	31	6.164494977817067e-7	31
500	1e3	0.01	1.5	0.475106465816068	5	32	1.6308787015055828e-6	32
500	1e3	0.01	1.5	0.475106465816068	5	33	1.013626461288563e-5	33
500	1e3	0.01	1.5	0.475106465816068	5	34	7.6205414432264956e-6	34
500	1e3	0.01	1.5	0.475106465816068	5	35	6.518564183048625e-6	35
500	1e3	0.01	1.5	0.475106465816068	5	36	-1.930238202950204e-6	36
500	1e3	0.01	1.5	0.475106465816068	5	37	4.449020900820345e-6	37
500	1e3	0.01	1.5	0.475106465816068	5	38	1.0530960334552557e-6	38
500	1e3	0.01	1.5	0.475106465816068	5	39	9.399851185760658e-6	39
500	1e3	0.01	1.5	0.475106465816068	5	40	-4.005770383307901e-6	40
500	1e3	0.01	1.5	0.475106465816068	5	41	7.127848522555627e-6	41
500	1e3	0.01	1.5	0.475106465816068	5	42	5.057885786731339e-6	42
500	1e3	0.01	1.5	0.475106465816068	5	43	6.347314992809217e-6	43
500	1e3	0.01	1.5	0.475106465816068	5	44	2.541282151801748e-6	44
500	1e3	0.01	1.5	0.475106465816068	5	45	1.2759000142403884e-6	45
500	1e3	0.01	1.5	0.475106465816068	5	46	1.5255900912824951e-5	46
500	1e3	0.01	1.5	0.475106465816068	5	47	5.8507959183174575e-6	47
500	1e3	0.01	1.5	0.475106465816068	5	48	1.2345333109647716e-5	48
500	1e3	0.01	1.5	0.475106465816068	5	49	5.9814088314905485e-6	49
500	1e3	0.01	1.5	0.475106465816068	5	50	2.7633952553988635e-6	50
500	1e3	0.02	0.01	0.009900663346622374	2	5	-9.010346554581362e-5	2
500	1e3	0.02	0.01	0.009900663346622374	3	5	4.514610456795452e-5	3
500	1e3	0.02	0.01	0.009900663346622374	4	5	1.1477086272339438e-6	4
500	1e3	0.02	0.01	0.009900663346622374	5	6	0.0011401273768061736	6
500	1e3	0.02	0.01	0.009900663346622374	5	7	0.0011003705794014244	7
500	1e3	0.02	0.01	0.009900663346622374	5	8	0.001087104391640775	8
500	1e3	0.02	0.01	0.009900663346622374	5	9	0.0010658019164526858	9
500	1e3	0.02	0.01	0.009900663346622374	5	10	0.0010029023947120803	10
500	1e3	0.02	0.01	0.009900663346622374	5	11	0.0010064382786468854	11
500	1e3	0.02	0.01	0.009900663346622374	5	12	9.062039368632882e-4	12
500	1e3	0.02	0.01	0.009900663346622374	5	13	9.035014462368632e-4	13
500	1e3	0.02	0.01	0.009900663346622374	5	14	8.377465548313099e-4	14
500	1e3	0.02	0.01	0.009900663346622374	5	15	7.942202323841613e-4	15
500	1e3	0.02	0.01	0.009900663346622374	5	16	7.592768786912161e-4	16
500	1e3	0.02	0.01	0.009900663346622374	5	17	7.482339797309817e-4	17
500	1e3	0.02	0.01	0.009900663346622374	5	18	6.985751168720285e-4	18
500	1e3	0.02	0.01	0.009900663346622374	5	19	6.038229757853312e-4	19
500	1e3	0.02	0.01	0.009900663346622374	5	20	5.546946656160348e-4	20
500	1e3	0.02	0.01	0.009900663346622374	5	21	6.427685147360669e-4	21
500	1e3	0.02	0.01	0.009900663346622374	5	22	5.468782319869532e-4	22
500	1e3	0.02	0.01	0.009900663346622374	5	23	4.711859145582478e-4	23
500	1e3	0.02	0.01	0.009900663346622374	5	24	4.43352932688948e-4	24
500	1e3	0.02	0.01	0.009900663346622374	5	25	4.535651270973256e-4	25
500	1e3	0.02	0.01	0.009900663346622374	5	26	3.916895139410345e-4	26
500	1e3	0.02	0.01	0.009900663346622374	5	27	3.5804097379961246e-4	27
500	1e3	0.02	0.01	0.009900663346622374	5	28	3.3997388717288386e-4	28
500	1e3	0.02	0.01	0.009900663346622374	5	29	3.886261199907079e-4	29
500	1e3	0.02	0.01	0.009900663346622374	5	30	2.560566739726997e-4	30
500	1e3	0.02	0.01	0.009900663346622374	5	31	2.6452169904840487e-4	31
500	1e3	0.02	0.01	0.009900663346622374	5	32	2.470646643869351e-4	32
500	1e3	0.02	0.01	0.009900663346622374	5	33	2.2606001735875952e-4	33
500	1e3	0.02	0.01	0.009900663346622374	5	34	2.1322008779805504e-4	34
500	1e3	0.02	0.01	0.009900663346622374	5	35	2.310145755818093e-4	35
500	1e3	0.02	0.01	0.009900663346622374	5	36	1.6585901341014742e-4	36
500	1e3	0.02	0.01	0.009900663346622374	5	37	1.796414914934246e-4	37
500	1e3	0.02	0.01	0.009900663346622374	5	38	2.1138711995205662e-4	38
500	1e3	0.02	0.01	0.009900663346622374	5	39	2.3297925327364497e-4	39
500	1e3	0.02	0.01	0.009900663346622374	5	40	1.7185166722753596e-4	40
500	1e3	0.02	0.01	0.009900663346622374	5	41	1.107253370093347e-4	41
500	1e3	0.02	0.01	0.009900663346622374	5	42	1.5293993833441117e-4	42
500	1e3	0.02	0.01	0.009900663346622374	5	43	9.299967258105076e-5	43
500	1e3	0.02	0.01	0.009900663346622374	5	44	1.2467070030270844e-4	44
500	1e3	0.02	0.01	0.009900663346622374	5	45	5.17953463862543e-5	45
500	1e3	0.02	0.01	0.009900663346622374	5	46	1.0820061151515647e-4	46
500	1e3	0.02	0.01	0.009900663346622374	5	47	7.217878154220756e-5	47
500	1e3	0.02	0.01	0.009900663346622374	5	48	6.741012791236686e-5	48
500	1e3	0.02	0.01	0.009900663346622374	5	49	1.208573020657615e-4	49
500	1e3	0.02	0.01	0.009900663346622374	5	50	1.1213847166341391e-4	50
500	1e3	0.02	0.1	0.09063462346100909	2	5	1.535123026551254e-5	2
500	1e3	0.02	0.1	0.09063462346100909	3	5	1.1991535593897535e-5	3
500	1e3	0.02	0.1	0.09063462346100909	4	5	-8.969120395571606e-7	4
500	1e3	0.02	0.1	0.09063462346100909	5	6	2.2759062227945513e-4	6
500	1e3	0.02	0.1	0.09063462346100909	5	7	2.1915418252963073e-4	7
500	1e3	0.02	0.1	0.09063462346100909	5	8	2.1393495825017042e-4	8
500	1e3	0.02	0.1	0.09063462346100909	5	9	2.1702628704297903e-4	9
500	1e3	0.02	0.1	0.09063462346100909	5	10	2.3050130163844969e-4	10
500	1e3	0.02	0.1	0.09063462346100909	5	11	2.1856834925993587e-4	11
500	1e3	0.02	0.1	0.09063462346100909	5	12	2.2196550566467435e-4	12
500	1e3	0.02	0.1	0.09063462346100909	5	13	1.9690141979573976e-4	13
500	1e3	0.02	0.1	0.09063462346100909	5	14	1.984881799157798e-4	14
500	1e3	0.02	0.1	0.09063462346100909	5	15	1.9391381098212156e-4	15
500	1e3	0.02	0.1	0.09063462346100909	5	16	1.7793644108353874e-4	16
500	1e3	0.02	0.1	0.09063462346100909	5	17	1.5510035259735152e-4	17
500	1e3	0.02	0.1	0.09063462346100909	5	18	1.6208871408459743e-4	18
500	1e3	0.02	0.1	0.09063462346100909	5	19	1.8346391171352448e-4	19
500	1e3	0.02	0.1	0.09063462346100909	5	20	1.5417471746593202e-4	20
500	1e3	0.02	0.1	0.09063462346100909	5	21	1.5714398955902464e-4	21
500	1e3	0.02	0.1	0.09063462346100909	5	22	1.3512454890550384e-4	22
500	1e3	0.02	0.1	0.09063462346100909	5	23	1.3650311192585306e-4	23
500	1e3	0.02	0.1	0.09063462346100909	5	24	1.3920845697352829e-4	24
500	1e3	0.02	0.1	0.09063462346100909	5	25	1.2712351863345748e-4	25
500	1e3	0.02	0.1	0.09063462346100909	5	26	1.1679343664957821e-4	26
500	1e3	0.02	0.1	0.09063462346100909	5	27	9.495616542693217e-5	27
500	1e3	0.02	0.1	0.09063462346100909	5	28	1.0013200903814802e-4	28
500	1e3	0.02	0.1	0.09063462346100909	5	29	1.051728467795563e-4	29
500	1e3	0.02	0.1	0.09063462346100909	5	30	9.968737002565967e-5	30
500	1e3	0.02	0.1	0.09063462346100909	5	31	1.0448457926969357e-4	31
500	1e3	0.02	0.1	0.09063462346100909	5	32	8.668760509934446e-5	32
500	1e3	0.02	0.1	0.09063462346100909	5	33	8.067365295297734e-5	33
500	1e3	0.02	0.1	0.09063462346100909	5	34	7.490615908710446e-5	34
500	1e3	0.02	0.1	0.09063462346100909	5	35	7.906509910975091e-5	35
500	1e3	0.02	0.1	0.09063462346100909	5	36	6.0623450378273953e-5	36
500	1e3	0.02	0.1	0.09063462346100909	5	37	6.740052843477853e-5	37
500	1e3	0.02	0.1	0.09063462346100909	5	38	7.835350304651295e-5	38
500	1e3	0.02	0.1	0.09063462346100909	5	39	6.5890894872198e-5	39
500	1e3	0.02	0.1	0.09063462346100909	5	40	4.487814731117289e-5	40
500	1e3	0.02	0.1	0.09063462346100909	5	41	5.45595640213293e-5	41
500	1e3	0.02	0.1	0.09063462346100909	5	42	6.804117507111735e-5	42
500	1e3	0.02	0.1	0.09063462346100909	5	43	5.6172697685539546e-5	43
500	1e3	0.02	0.1	0.09063462346100909	5	44	5.8924665295932684e-5	44
500	1e3	0.02	0.1	0.09063462346100909	5	45	4.740113358506606e-5	45
500	1e3	0.02	0.1	0.09063462346100909	5	46	6.186380530443757e-5	46
500	1e3	0.02	0.1	0.09063462346100909	5	47	4.5705606667089235e-5	47
