L	N	Va	alpha	genlen	r	gen	kvar	zbar	ac_var	ac_cov	neut_ssh	sel_ssh	sel_het	neut_het	neut_ssh_delta	neut_ssh0	sel_ssh0	zvar0	var_type	variance
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	1	2.0007207207207207	0.012949398238178055	0.005003705982690815	-9.853074038205037e-5	68.474184035	61.153483645	0.12230696729	0.12453927473536791	0.9992571195156706	68.366516205	61.07594405	0.009832149342488387	offspring	NA
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	2	2.006786786786787	0.013461220028635507	0.00499997612302286	-1.064012000754916e-4	68.4233159	61.10789865	0.12221579730000001	0.12444675693863447	1.000285879085845	68.366516205	61.07594405	0.009832149342488387	offspring	NA
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	3	1.9972972972972973	0.013398169518216835	0.005002566266811992	-1.0512633660127967e-4	68.442876695	61.13955445	0.1222791089	0.12448233366374448	0.999549921460238	68.366516205	61.07594405	0.009832149342488387	offspring	NA
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	4	2.003363363363363	0.012994543938335847	0.005000349947707013	-9.797318418965935e-5	68.412072025	61.1124674	0.1222249348	0.12442630683678294	0.999334096766089	68.366516205	61.07594405	0.009832149342488387	offspring	NA
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	5	2.037297297297297	0.013322457749113685	0.004997361530792552	-1.1905601351548591e-4	68.366516205	61.07594405	0.1221518881	0.12434345095667672	0.9981090058821728	68.366516205	61.07594405	0.009832149342488387	offspring	0.009324324324324285
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	6	2.0425025025025025	0.023154756412374317	0.004986915412274977	-1.6115366164402706e-4	68.237235525	60.94827537	0.12189655074	0.1241083182223273	0.9977880089391268	68.366516205	61.07594405	0.009832149342488387	offspring	0.010625625625625634
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	7	2.0464064064064065	0.03272001761974411	0.004971666540676956	-1.881660529031749e-4	68.08629537	60.761909179999996	0.12152381836	0.1238337917318395	0.9960214709358478	68.366516205	61.07594405	0.009832149342488387	offspring	0.011601601601601619
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	8	2.041121121121121	0.04213615733594113	0.004953912317933154	-2.1541333166088226e-4	67.815412065	60.544923495	0.12108984699	0.12334111539231021	0.9951613865490414	68.366516205	61.07594405	0.009832149342488387	offspring	0.010280280280280274
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	9	2.037237237237237	0.0514779920895555	0.004928073205156866	-2.3560809754404483e-4	67.4872795	60.22912721	0.12045825442000001	0.12274431541231674	0.9949933060348061	68.366516205	61.07594405	0.009832149342488387	offspring	0.009309309309309288
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	10	2.007287287287287	0.06119812990568191	0.004901333561705712	-2.722679811525235e-4	67.149391345	59.902324965	0.11980464992999999	0.12212977218908004	0.9945192568744347	68.366516205	61.07594405	0.009832149342488387	offspring	0.0018218218218217785
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	11	2.028968968968969	0.07083897499065298	0.004873540136846384	-3.0148099067536094e-4	66.78136278	59.562643785	0.11912528757	0.12146041027972788	0.9942580906702485	68.366516205	61.07594405	0.009832149342488387	offspring	0.007242242242242236
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	12	2.023043043043043	0.0801093183947257	0.004845164535527094	-3.3055047852077426e-4	66.39791025	59.215847455	0.11843169491000001	0.12076299561674728	0.9933346393985344	68.366516205	61.07594405	0.009832149342488387	offspring	0.005760760760760708
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	13	2.0463263263263265	0.08929141666251264	0.004811081796631945	-3.82839443807509e-4	65.955344235	58.799300555	0.11759860111	0.11995806670364845	0.9915388271947817	68.366516205	61.07594405	0.009832149342488387	offspring	0.011581581581581624
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	14	2.027107107107107	0.09815532087366337	0.0047704048422653736	-4.432129137446753e-4	65.39728467	58.30216154	0.11660432308	0.11894308077188898	0.9908285555275487	68.366516205	61.07594405	0.009832149342488387	offspring	0.006776776776776794
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	15	2.0408608608608607	0.10686409269305375	0.004726060525990491	-4.987188896890913e-4	64.797497105	57.760201355	0.11552040271	0.11785220091120731	0.9909003160408412	68.366516205	61.07594405	0.009832149342488387	offspring	0.010215215215215179
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	16	2.0391791791791793	0.11509685234250844	0.0046833627275429755	-5.501297721919796e-4	64.20786036	57.238364315	0.11447672863	0.11677978312902403	0.9894269663216668	68.366516205	61.07594405	0.009832149342488387	offspring	0.009794794794794837
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	17	2.0407407407407407	0.12322052054087362	0.004634648654972502	-6.086355023199639e-4	63.52898849	56.64299855	0.11328599710000001	0.11554506654905242	0.9882146178808142	68.366516205	61.07594405	0.009832149342488387	offspring	0.010185185185185186
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	18	2.0165965965965964	0.13126246606954808	0.004580614068531108	-6.876850186479854e-4	62.780275085	55.98260739	0.11196521478	0.11418332378778508	0.9889556736720055	68.366516205	61.07594405	0.009832149342488387	offspring	0.004149149149149101
