L	N	Va	genlen	rho	cov_lower	cov_mean	cov_upper	var_lower	var_mean	var_upper	pred_cov	pred_var
500	1e3	0.001	0.01	40	0.006739130790104858	0.012985759518411034	0.017392076834057343	0.0053406988153892115	0.006262476865811303	0.00685687496141755	0.0061767187392127824	0.006118836578234378
500	1e3	0.001	0.1	400	0.005515602440266884	0.006937446537049842	0.008014525042012955	0.005398835836571779	0.005646088194572581	0.005937079770806224	0.001102603665068822	0.005614925173281675
500	1e3	0.001	0.5	2e3	0.0051880745622616894	0.0058526999527734975	0.0064524595484303235	0.005486438029828634	0.005631015672772552	0.005777976475870348	2.8676948593228706e-4	0.005532912777139582
500	1e3	0.001	1.5	6e3	0.005346767516193553	0.005768219280672029	0.006182289096944935	0.0054584257992823446	0.005588902323250865	0.005710313031558303	1.0649190162420736e-4	0.005513900718071918
500	1e3	0.005	0.01	40	0.017396497718552527	0.03442852214139561	0.04578434270633105	0.0067310551440600275	0.008121282238601462	0.009087177120212417	0.02755839786536414	0.008229026511575605
500	1e3	0.005	0.1	400	0.009575095802531875	0.012548841179955163	0.014631960338004773	0.005822051920337243	0.006193888494929896	0.006437323242617347	0.00566995722853604	0.00608701788383954
500	1e3	0.005	0.5	2e3	0.006661776619806338	0.007302268169231237	0.007723284506549261	0.005612303183204226	0.005784302939368215	0.006017728004313381	0.0014307663461148317	0.005663647435436184
500	1e3	0.005	1.5	6e3	0.005629326168003651	0.006249459578878447	0.006955039268407813	0.0054879745307752715	0.005631759645791736	0.005775010327822832	5.341623770107358e-4	0.005569857369234031
500	1e3	0.01	0.01	40	0.02860192055461065	0.06521217146197562	0.07143535618121902	0.00795507906165387	0.010924207507962474	0.011629352630285496	0.05328033861665852	0.01077378970405349
500	1e3	0.01	0.1	400	0.013222550437938359	0.0175029001782352	0.019934275100285948	0.006208437166405845	0.006734760124870546	0.007120455477097548	0.010646553592937416	0.00660498497280361
500	1e3	0.01	0.5	2e3	0.008193075112378293	0.00934274180837825	0.010268667243879315	0.005818614449631444	0.005982193642137618	0.006153946491159939	0.00280656094255656	0.0058216839988038185
500	1e3	0.01	1.5	6e3	0.006382522281663875	0.007025764286545239	0.007607040857906247	0.00561480247385787	0.005757392284117682	0.005886815586902658	0.0010803531092901263	0.005641203146913106
500	1e3	0.05	0.01	40	0.11327215329016296	0.259936142693213	0.32504274331893296	0.016555396932194003	0.030969111633427256	0.039483964612453765	0.25124732522803006	0.028278212448189923
500	1e3	0.05	0.1	400	0.05397892802592669	0.08017179407304137	0.09675462985592824	0.010627956742571554	0.013310764791460386	0.015069150039102214	0.05489218274690785	0.010992325792497776
500	1e3	0.05	0.5	2e3	0.02135954422618184	0.02675254242017134	0.030236326086964443	0.007365643808037912	0.007976798751512823	0.00836329847700611	0.014128163549176785	0.0071004270421911155
500	1e3	0.05	1.5	6e3	0.011805168185885081	0.013541281926936027	0.01483663383824908	0.006429971369326489	0.006669954724694649	0.006903548112981275	0.005347687332845622	0.006199787292349488
500	1e3	0.08	0.01	40	0.16841680933640804	0.4287947414840181	0.5495314286556054	0.022060425408491954	0.04761185665938112	0.05701333651240606	0.4047882562330255	0.040739637114764124
500	1e3	0.08	0.1	400	0.07655724443136022	0.12684184638696244	0.1452421193161304	0.01322992990846209	0.018341275195051725	0.020090767559498984	0.08436377977802816	0.013736111504512798
500	1e3	0.08	0.5	2e3	0.03368354424677262	0.0466328050993126	0.05061753487459324	0.008731830884440614	0.010255223288560442	0.01058817712488222	0.02237788051982002	0.008026931378060535
500	1e3	0.08	1.5	6e3	0.01721405856121003	0.01997932525318706	0.022123658902618828	0.0071166820762094745	0.007510763691202613	0.007799067249801215	0.008636222082525463	0.006622304743088589
