N	alpha	rec_frac	gen	wvar	kvar	wbar	theory_va	cov
1000	0.05	1e-4	56	2.638049549549554e-4	2.0025705705705708	1.0662354	2.0597899217084968e-4	3.894889731522315e-5
1000	0.05	1e-4	57	2.6600479979980025e-4	2.0085045045045047	1.0664497000000002	2.0306741237487782e-4	3.839450219718638e-5
1000	0.05	1e-4	58	2.64226506506507e-4	2.003071071071071	1.066673	2.0015911810215343e-4	3.7840838709287104e-5
1000	0.05	1e-4	59	2.6181820320320365e-4	1.993805805805806	1.0669253	1.972556996933161e-4	3.728820727847917e-5
1000	0.05	1e-4	60	2.620324024024029e-4	1.9985665665665666	1.0671874000000001	1.9435869662258497e-4	3.673689859693793e-5
1000	0.05	1e-4	61	2.6112859359359405e-4	1.9982662662662662	1.0674349	1.9146959700944234e-4	3.6187193534607154e-5
1000	0.05	1e-4	62	2.5966080580580624e-4	2.0064024024024025	1.0676869	1.8858983725439954e-4	3.563936307524878e-5
1000	0.05	1e-4	63	2.5680386386386434e-4	2.0067187187187185	1.0679078	1.857208017941788e-4	3.5093668275097265e-5
1000	0.05	1e-4	64	2.564337337337342e-4	1.997845845845846	1.0681306000000002	1.828638229712748e-4	3.4550360243151105e-5
1000	0.05	1e-4	65	2.542157757757762e-4	1.9992192192192193	1.0683666	1.8002018101291158e-4	3.400968014214489e-5
1000	0.05	1e-4	66	2.5239706206206254e-4	1.9975175175175175	1.0685859	1.7719110411421458e-4	3.347185920920866e-5
1000	0.05	1e-4	67	2.510919219219224e-4	2.00391991991992	1.0688186	1.7437776862039146e-4	3.293711879521762e-5
1000	0.05	1e-4	68	2.516839289289294e-4	2.0033313313313315	1.0690569	1.715812993025759e-4	3.2405670421809247e-5
1000	0.05	1e-4	69	2.5021670170170216e-4	2.006226226226226	1.0692963	1.6880276972216317e-4	3.1877715855079065e-5
1000	0.05	1e-4	70	2.4882741241241284e-4	2.001277277277277	1.0695273	1.6604320267816258e-4	3.135344719490947e-5
1000	0.05	1e-4	71	2.482904904904909e-4	2.011307307307307	1.0698094	1.6330357073245997e-4	3.0833046978956466e-5
1000	0.05	1e-4	72	2.461272072072076e-4	2.0014574574574575	1.0700254	1.6058479680762424e-4	3.0316688300271016e-5
1000	0.05	1e-4	73	2.4397252252252296e-4	2.0008568568568568	1.0702842000000001	1.5788775485214634e-4	2.9804534937580453e-5
1000	0.05	1e-4	74	2.4278161661661705e-4	1.9954634634634634	1.0704813	1.552132705679928e-4	2.9296741497255177e-5
1000	0.05	1e-4	75	2.428151701701706e-4	1.996848848848849	1.0707155000000002	1.5256212219546557e-4	2.8793453566007035e-5
1000	0.05	1e-4	76	2.4111990490490533e-4	1.9993353353353354	1.0709617	1.49935041350484e-4	2.829480787339036e-5
1000	0.05	1e-4	77	2.373276676676681e-4	1.998006006006006	1.0711698	1.4733271390947195e-4	2.7800932463189584e-5
1000	0.05	1e-4	78	2.3918771771771816e-4	2.0014814814814814	1.0713978	1.4475578093725268e-4	2.731194687281995e-5
1000	0.05	1e-4	79	2.3569170670670713e-4	2.0005685685685686	1.0716319	1.4220483965338802e-4	2.6827962319874665e-5
1000	0.05	1e-4	80	2.3556649649649692e-4	2.0020580580580583	1.0718554	1.3968044443265224e-4	2.63490818950005e-5
1000	0.05	1e-4	81	2.3440990990991032e-4	2.001985985985986	1.072095	1.371831078353954e-4	2.587540076029663e-5
1000	0.05	1e-4	82	2.3225251751751792e-4	2.000868868868869	1.0722999	1.3471330166374914e-4	2.5407006352469612e-5
1000	0.05	1e-4	83	2.299421921921926e-4	1.9985985985985986	1.0725116000000001	1.3227145803983598e-4	2.4943978590017032e-5
1000	0.05	1e-4	84	2.2886827327327368e-4	1.994938938938939	1.0727015	1.2985797050221585e-4	2.4486390083726912e-5
1000	0.05	1e-4	85	2.257951151151155e-4	2.004136136136136	1.072918	1.2747319511709833e-4	2.4034306349835955e-5
1000	0.05	1e-4	86	2.2371721721721761e-4	1.9931331331331332	1.073152	1.2511745160085594e-4	2.358778602519146e-5
1000	0.05	1e-4	87	2.2038453953953993e-4	2.0135375375375375	1.0733509	1.2279102445075972e-4	2.314688108383519e-5
1000	0.05	1e-4	88	2.186710010010014e-4	2.006958958958959	1.0735162	1.204941640808218e-4	2.2711637054420924e-5
1000	0.05	1e-4	89	2.1615363863863903e-4	2.0016536536536536	1.0737117	1.1822708795996161e-4	2.228209323794049e-5
1000	0.05	1e-4	90	2.132484284284288e-4	2.0023463463463465	1.0738918000000002	1.15989981749759e-4	2.185828292524227e-5
1000	0.05	1e-4	91	2.1261329329329368e-4	2.0016656656656657	1.0740542	1.1378300043936223e-4	2.1440233613884014e-5
1000	0.05	1e-4	92	2.1070024024024062e-4	1.9992552552552552	1.074246	1.116062694751309e-4	2.102796722386448e-5
1000	0.05	1e-4	93	2.0643008008008044e-4	1.9953633633633634	1.0744706000000002	1.094598858828913e-4	2.0621500311834684e-5
1000	0.05	1e-4	94	2.0393549049049087e-4	1.9935935935935936	1.0746689	1.0734391938073812e-4	2.0220844283400644e-5
1000	0.05	1e-4	95	2.0246111111111147e-4	2.0042042042042043	1.0748576	1.0525841348054647e-4	1.982600560317313e-5
1000	0.05	1e-4	96	2.0025031531531568e-4	2.001193193193193	1.0750255	1.0320338657647581e-4	1.9436986002242156e-5
1000	0.05	1e-4	97	1.980763513513517e-4	2.0033153153153154	1.0752209000000001	1.0117883301886565e-4	1.9053782682776824e-5
1000	0.05	1e-4	98	1.9467139639639674e-4	1.9984984984984986	1.0754049	9.918472417212281e-5	1.8676388519488705e-5
1000	0.05	1e-4	99	1.9124290790790825e-4	1.9968328328328329	1.0756195000000002	9.722100945527429e-5	1.8304792257711285e-5
1000	0.05	1e-4	100	1.8990464464464497e-4	2.0002642642642643	1.075768	9.528761736407226e-5	1.793897870788825e-5
1000	0.05	5e-4	5	2.896563213213218e-4	2.0036196196196197	1.0502111	3.117578300542352e-4	3.597205731395022e-5
1000	0.05	5e-4	6	2.8949641641641695e-4	2.0081481481481482	1.0504922	3.1134156352403725e-4	3.590606454718561e-5
1000	0.05	5e-4	7	2.8916436436436486e-4	2.006142142142142	1.0507752000000001	3.108339113456486e-4	3.582959482416702e-5
1000	0.05	5e-4	8	2.880632782782788e-4	2.0046406406406407	1.0510177	3.102355127651076e-4	3.5742737553901746e-5
1000	0.05	5e-4	9	2.89087482482483e-4	2.0001081081081082	1.0512933	3.0954711156862665e-4	3.564559402054646e-5
1000	0.05	5e-4	10	2.9038302302302355e-4	2.0004964964964964	1.0515488	3.087695541589591e-4	3.5538277132105585e-5
1000	0.05	5e-4	11	2.8705224724724773e-4	1.994858858858859	1.0518575000000001	3.0790378738842074e-4	3.54209111418447e-5
1000	0.05	5e-4	12	2.8743526026026077e-4	1.99405005005005	1.0521045	3.069508561579371e-4	3.5293631343593144e-5
1000	0.05	5e-4	13	2.8793995495495547e-4	2.008084084084084	1.0523535	3.059119007923887e-4	3.515658374220916e-5
1000	0.05	5e-4	14	2.857916316316321e-4	2.001937937937938	1.0526354	3.0478815420336417e-4	3.5009924700572356e-5
1000	0.05	5e-4	15	2.858376226226231e-4	1.9975415415415416	1.0528905	3.035809388511915e-4	3.48538205645499e-5
1000	0.05	5e-4	16	2.8849922922922973e-4	1.9974534534534534	1.053197	3.022916635188527e-4	3.468844726746202e-5
1000	0.05	5e-4	17	2.864892342342347e-4	2.0035035035035036	1.0534797	3.0092181991088767e-4	3.4513989915623465e-5
1000	0.05	5e-4	18	2.8690947947948e-4	2.008752752752753	1.0537394	2.994729790910864e-4	3.433064235661137e-5
1000	0.05	5e-4	19	2.87600515515516e-4	1.9982462462462462	1.0540297	2.9794678777313866e-4	3.413860673194518e-5
1000	0.05	5e-4	20	2.8596494994995045e-4	1.995987987987988	1.0542979000000001	2.9634496447870494e-4	3.393809301589232e-5
1000	0.05	5e-4	21	2.8489493493493546e-4	1.996984984984985	1.054537	2.9466929557784584e-4	3.372931854215982e-5
1000	0.05	5e-4	22	2.8452054054054106e-4	2.006018018018018	1.0547904000000001	2.9292163122669615e-4	3.3512507520220166e-5
1000	0.05	5e-4	23	2.8487850850850903e-4	2.000844844844845	1.0551044	2.911038812177191e-4	3.328789054306343e-5
1000	0.05	5e-4	24	2.8555413413413466e-4	1.9977377377377377	1.055353	2.8921801075753884e-4	3.305570408812258e-5
1000	0.05	5e-4	25	2.865085785785791e-4	1.997041041041041	1.055635	2.872660361876019e-4	3.281619001314043e-5
1000	0.05	5e-4	26	2.852298548548554e-4	1.9973133133133134	1.0559439000000002	2.852500206626479e-4	3.2569595048709165e-5
1000	0.05	5e-4	27	2.847425975975981e-4	1.9996596596596596	1.0562677	2.831720698018192e-4	3.2316170289188905e-5
1000	0.05	5e-4	28	2.855628828828834e-4	1.9973493493493493	1.0565526	2.810343273269667e-4	3.205617068367415e-5
1000	0.05	5e-4	29	2.842907607607613e-4	2.0057257257257257	1.0568364000000001	2.788389707023761e-4	3.178985452863243e-5
1000	0.05	5e-4	30	2.849796096096101e-4	2.001973973973974	1.0571342000000001	2.7658820678973977e-4	3.1517482963786995e-5
1000	0.05	5e-4	31	2.833163713713719e-4	1.997001001001001	1.0574165	2.742842675317828e-4	3.1239319472762484e-5
1000	0.05	5e-4	32	2.856695645645651e-4	2.0026706706706707	1.0576493	2.7192940567731066e-4	3.095562938993243e-5
1000	0.05	5e-4	33	2.8261781781781833e-4	1.9951431431431432	1.057931	2.6952589056015633e-4	3.066667941486958e-5
1000	0.05	5e-4	34	2.827410960960966e-4	2.000328328328328	1.0581875	2.6707600394360156e-4	3.03727371356912e-5
1000	0.05	5e-4	35	2.816683983983989e-4	1.996052052052052	1.0584284000000002	2.645820359413848e-4	3.0074070562533864e-5
1000	0.05	5e-4	36	2.8085995495495545e-4	2.003111111111111	1.0586807	2.620462810257415e-4	2.9770947672311546e-5
1000	0.05	5e-4	37	2.8098096596596646e-4	2.0001001001001	1.0589631000000002	2.594710341321943e-4	2.9463635965823405e-5
1000	0.05	5e-4	38	2.81090505505506e-4	2.007307307307307	1.0592491	2.568585868700255e-4	2.9152402038184196e-5
1000	0.05	5e-4	39	2.81223523523524e-4	2.0008208208208207	1.0595544000000001	2.542112238467622e-4	2.8837511163478023e-5
1000	0.05	5e-4	40	2.7970725225225275e-4	2.0024424424424425	1.0598621000000001	2.5153121911415877e-4	2.8519226894436534e-5
1000	0.05	5e-4	41	2.791338788788794e-4	1.9958798798798798	1.0600957	2.488208327424769e-4	2.8197810677861786e-5
1000	0.05	5e-4	42	2.785017517517522e-4	1.998114114114114	1.0603532	2.460823075290117e-4	2.787352148641458e-5
1000	0.05	5e-4	43	2.770893443443448e-4	2.0012652652652654	1.0606317	2.4331786584618924e-4	2.7546615467315852e-5
1000	0.05	5e-4	44	2.7483927927927974e-4	2.0014574574574575	1.0608662	2.4052970663377912e-4	2.7217345608418132e-5
1000	0.05	5e-4	45	2.739368318318323e-4	2.005761761761762	1.0611291	2.3772000253885746e-4	2.688596142199913e-5
1000	0.05	5e-4	46	2.7356136636636684e-4	1.9976216216216216	1.0613963	2.3489089720682573e-4	2.655270864659093e-5
1000	0.05	5e-4	47	2.701780830830836e-4	1.9945705705705705	1.0616829	2.320445027256185e-4	2.6217828967024395e-5
1000	0.05	5e-4	48	2.7145225725725775e-4	2.0006886886886885	1.0619645	2.2918289722494734e-4	2.5881559752835065e-5
1000	0.05	5e-4	49	2.707072322322327e-4	1.9973373373373373	1.0622415	2.263081226315843e-4	2.5544133815081186e-5
1000	0.05	5e-4	50	2.709269119119124e-4	2.006146146146146	1.0624983000000001	2.234221825810647e-4	2.5205779181553592e-5
1000	0.05	5e-4	51	2.6911581581581627e-4	1.9984384384384384	1.0627964	2.2052704048562439e-4	2.486671889029346e-5
1000	0.05	5e-4	52	2.677141241241246e-4	1.999951951951952	1.0629824	2.1762461775765103e-4	2.4527170801274024e-5
1000	0.05	5e-4	53	2.666049349349354e-4	2.006018018018018	1.0632652	2.147167921873291e-4	2.4187347426034865e-5
1000	0.05	5e-4	54	2.6578455455455503e-4	2.003059059059059	1.0635430000000001	2.1180539647273287e-4	2.3847455775010503e-5
1000	0.05	5e-4	55	2.65786491491492e-4	1.9954194194194195	1.0637789	2.0889221689997093e-4	2.350769722222263e-5
1000	0.05	5e-4	56	2.640132182182187e-4	1.9991911911911913	1.0640009000000001	2.0597899217084968e-4	2.3168267386991037e-5
1000	0.05	5e-4	57	2.6362885385385434e-4	2.0043363363363365	1.0642401000000001	2.0306741237487782e-4	2.2829356032247268e-5
1000	0.05	5e-4	58	2.6057316316316364e-4	2.0016056056056057	1.0644692	2.0015911810215343e-4	2.249114697900484e-5
1000	0.05	5e-4	59	2.5973657657657706e-4	2.000920920920921	1.0647174000000001	1.972556996933161e-4	2.2153818036501337e-5
1000	0.05	5e-4	60	2.5783089089089135e-4	1.997921921921922	1.0650024	1.9435869662258497e-4	2.181754094751132e-5
1000	0.05	5e-4	61	2.590751651651656e-4	2.003251251251251	1.0652354000000002	1.9146959700944234e-4	2.1482481348279115e-5
1000	0.05	5e-4	62	2.564989339339344e-4	1.9995235235235236	1.0654913000000001	1.8858983725439954e-4	2.114879874250893e-5
1000	0.05	5e-4	63	2.5504161161161206e-4	1.9926086086086086	1.0657516	1.857208017941788e-4	2.081664648884029e-5
1000	0.05	5e-4	64	2.5493527527527574e-4	2.000992992992993	1.0659880000000002	1.828638229712748e-4	2.0486171801197553e-5
1000	0.05	5e-4	65	2.5236523023023066e-4	1.998978978978979	1.0662307	1.8002018101291158e-4	2.015751576141039e-5
1000	0.05	5e-4	66	2.508253553553558e-4	2.0064184184184186	1.0664762	1.7719110411421458e-4	1.9830813343482647e-5
1000	0.05	5e-4	67	2.490712562562567e-4	1.998810810810811	1.0667299000000001	1.7437776862039146e-4	1.950619344888621e-5
1000	0.05	5e-4	68	2.482172472472477e-4	2.001277277277277	1.0669694	1.715812993025759e-4	1.9183778952243693e-5
1000	0.05	5e-4	69	2.485474274274279e-4	2.001965965965966	1.0671608000000001	1.6880276972216317e-4	1.886368675678541e-5
1000	0.05	5e-4	70	2.4711967467467514e-4	2.0017337337337335	1.0673667	1.6604320267816258e-4	1.854602785893474e-5
1000	0.05	5e-4	71	2.4571433433433475e-4	2.0044564564564564	1.0676152	1.6330357073245997e-4	1.8230907421419577e-5
1000	0.05	5e-4	72	2.4547497997998044e-4	1.9987107107107107	1.0678555	1.6058479680762424e-4	1.791842485428089e-5
1000	0.05	5e-4	73	2.440279629629634e-4	2.0037997997997996	1.0680691	1.5788775485214634e-4	1.7608673903180416e-5
1000	0.05	5e-4	74	2.4202421421421464e-4	1.9964404404404403	1.0683102	1.552132705679928e-4	1.7301742744410944e-5
1000	0.05	5e-4	75	2.3973187687687731e-4	1.9935935935935936	1.0685401	1.5256212219546557e-4	1.6997714086027373e-5
1000	0.05	5e-4	76	2.3761311811811855e-4	2.0015815815815814	1.0687379000000001	1.49935041350484e-4	1.669666527453269e-5
1000	0.05	5e-4	77	2.3710105105105147e-4	1.9986266266266266	1.0689776	1.4733271390947195e-4	1.639866840656282e-5
1000	0.05	5e-4	78	2.3442956956956998e-4	2.0064344344344343	1.0692078	1.4475578093725268e-4	1.6103790445040857e-5
1000	0.05	5e-4	79	2.3408295295295338e-4	2.0005325325325325	1.0693994	1.4220483965338802e-4	1.5812093339276995e-5
1000	0.05	5e-4	80	2.3148242242242284e-4	2.0052492492492493	1.0696524	1.3968044443265224e-4	1.552363414852088e-5
1000	0.05	5e-4	81	2.2903223723723764e-4	1.9998878878878878	1.0698783	1.371831078353954e-4	1.5238465168482093e-5
1000	0.05	5e-4	82	2.286851001001005e-4	2.0047287287287285	1.0701067	1.3471330166374914e-4	1.4956634060358407e-5
1000	0.05	5e-4	83	2.2860415415415457e-4	2.0115355355355353	1.0703428000000001	1.3227145803983598e-4	1.4678183981936432e-5
1000	0.05	5e-4	84	2.262521971971976e-4	2.0087207207207207	1.0705857	1.2985797050221585e-4	1.4403153720338959e-5
1000	0.05	5e-4	85	2.2558918418418458e-4	2.0015375375375375	1.0708257	1.2747319511709833e-4	1.413157782602777e-5
1000	0.05	5e-4	86	2.2297806806806847e-4	2.005033033033033	1.071085	1.2511745160085594e-4	1.3863486747672886e-5
1000	0.05	5e-4	87	2.21158608608609e-4	2.0036436436436436	1.0713036	1.2279102445075972e-4	1.359890696754362e-5
1000	0.05	5e-4	88	2.1948066566566607e-4	1.998026026026026	1.0715053	1.204941640808218e-4	1.3337861137074058e-5
1000	0.05	5e-4	89	2.183169119119123e-4	1.9992072072072071	1.0717117	1.1822708795996161e-4	1.3080368212293702e-5
1000	0.05	5e-4	90	2.1779386886886925e-4	1.99193993993994	1.0719115000000001	1.15989981749759e-4	1.282644358882046e-5
1000	0.05	5e-4	91	2.158044094094098e-4	2.003055055055055	1.0721183	1.1378300043936223e-4	1.257609923614798e-5
1000	0.05	5e-4	92	2.1507608608608647e-4	2.0036436436436436	1.072319	1.116062694751309e-4	1.2329343830961774e-5
1000	0.05	5e-4	93	2.1221908408408446e-4	2.0079319319319318	1.0725219000000001	1.094598858828913e-4	1.208618288925251e-5
1000	0.05	5e-4	94	2.1066913413413452e-4	1.9981501501501502	1.0727325	1.0734391938073812e-4	1.1846618897001937e-5
1000	0.05	5e-4	95	2.0757969969970006e-4	1.9985265265265264	1.0729512	1.0525841348054647e-4	1.1610651439243282e-5
1000	0.05	5e-4	96	2.0529306806806844e-4	1.9998198198198198	1.0731431	1.0320338657647581e-4	1.1378277327311635e-5
1000	0.05	5e-4	97	2.0267019519519555e-4	1.999027027027027	1.0733147	1.0117883301886565e-4	1.1149490724113703e-5
1000	0.05	5e-4	98	2.0027840840840876e-4	1.9984544544544545	1.0735154	9.918472417212281e-5	1.092428326726896e-5
1000	0.05	5e-4	99	1.972437587587591e-4	1.999151151151151	1.0737173	9.722100945527429e-5	1.070264418998304e-5
1000	0.05	5e-4	100	1.950471521521525e-4	2.004348348348348	1.0739029	9.528761736407226e-5	1.0484560439538173e-5
1000	0.05	0.02	5	2.7983102102102154e-4	1.9986106106106105	1.0521102	3.117578300542352e-4	1.8800726819137746e-6
1000	0.05	0.02	6	2.7998007007007055e-4	2.0014534534534536	1.0523738	3.1134156352403725e-4	1.840011116511665e-6
1000	0.05	0.02	7	2.786955955955961e-4	1.9984864864864864	1.0526596000000001	3.108339113456486e-4	1.8002707022964674e-6
1000	0.05	0.02	8	2.7741192692692744e-4	1.996048048048048	1.0529077	3.102355127651076e-4	1.7608688317969408e-6
1000	0.05	0.02	9	2.760713063063068e-4	1.9932052052052052	1.0531995	3.0954711156862665e-4	1.721822298028558e-6
1000	0.05	0.02	10	2.7565134634634686e-4	1.9993033033033032	1.0534557	3.087695541589591e-4	1.6831472747296458e-6
1000	0.05	0.02	11	2.746037587587593e-4	2.0020580580580583	1.0537161000000002	3.0790378738842074e-4	1.644859298361574e-6
1000	0.05	0.02	12	2.7335238238238285e-4	1.9993353353353354	1.053968	3.069508561579371e-4	1.606973251905533e-6
1000	0.05	0.02	13	2.746813163163168e-4	1.996012012012012	1.0543127	3.059119007923887e-4	1.569503350480332e-6
1000	0.05	0.02	14	2.7327516516516563e-4	1.9997757757757757	1.054554	3.0478815420336417e-4	1.5324631287975779e-6
1000	0.05	0.02	15	2.7365724724724775e-4	2.0038718718718718	1.0548032	3.035809388511915e-4	1.4958654304625421e-6
1000	0.05	0.02	16	2.719487987987993e-4	2.0011291291291293	1.0550696	3.022916635188527e-4	1.4597223991213373e-6
1000	0.05	0.02	17	2.7164899399399447e-4	2.0015695695695697	1.0553259000000001	3.0092181991088767e-4	1.4240454714467082e-6
1000	0.05	0.02	18	2.70125525525526e-4	2.007811811811812	1.0556130000000001	2.994729790910864e-4	1.3888453719480138e-6
1000	0.05	0.02	19	2.708915965965971e-4	1.9983623623623623	1.0558637	2.9794678777313866e-4	1.3541321095832408e-6
1000	0.05	0.02	20	2.706753553553558e-4	2.0026226226226225	1.0561358	2.9634496447870494e-4	1.319914976143588e-6
1000	0.05	0.02	21	2.698731881881887e-4	1.9988468468468468	1.0563765	2.9466929557784584e-4	1.2862025463753489e-6
1000	0.05	0.02	22	2.6863656656656704e-4	2.0005525525525525	1.056664	2.9292163122669615e-4	1.2530026797963838e-6
1000	0.05	0.02	23	2.698138538538543e-4	2.0058098098098096	1.056912	2.911038812177191e-4	1.2203225241600172e-6
1000	0.05	0.02	24	2.6921950950951e-4	2.002206206206206	1.0572068000000001	2.8921801075753884e-4	1.1881685205120584e-6
1000	0.05	0.02	25	2.679561961961967e-4	1.9998318318318318	1.0574112	2.872660361876019e-4	1.1565464097828824e-6
1000	0.05	0.02	26	2.68970495495496e-4	2.0098818818818818	1.0576653	2.852500206626479e-4	1.1254612408512582e-6
1000	0.05	0.02	27	2.69757562562563e-4	1.9972772772772773	1.0579213	2.831720698018192e-4	1.094917380012658e-6
1000	0.05	0.02	28	2.694574524524529e-4	2.002874874874875	1.0581961	2.810343273269667e-4	1.0649185217811182e-6
1000	0.05	0.02	29	2.691786536536541e-4	1.9996476476476477	1.0584599000000001	2.788389707023761e-4	1.0354677009505412e-6
1000	0.05	0.02	30	2.6688997997998044e-4	1.9985785785785786	1.0587178000000002	2.7658820678973977e-4	1.0065673058386485e-6
