L	N	Va	genlen	r	t0	t1	cov	gen
500	1e3	0.001	0.01	0.009900663346622374	15	16	4.704327114551378e-5	16
500	1e3	0.001	0.01	0.009900663346622374	15	17	5.59749307499423e-5	17
500	1e3	0.001	0.01	0.009900663346622374	15	18	5.807706746957253e-5	18
500	1e3	0.001	0.01	0.009900663346622374	15	19	6.684061211797986e-5	19
500	1e3	0.001	0.01	0.009900663346622374	15	20	4.349455564494904e-5	20
500	1e3	0.001	0.01	0.009900663346622374	15	21	5.261891740957601e-5	21
500	1e3	0.001	0.01	0.009900663346622374	15	22	6.360408656808024e-5	22
500	1e3	0.001	0.01	0.009900663346622374	15	23	8.245309288948952e-5	23
500	1e3	0.001	0.01	0.009900663346622374	15	24	8.259988387977039e-5	24
500	1e3	0.001	0.01	0.009900663346622374	15	25	5.465241363291183e-5	25
500	1e3	0.001	0.01	0.009900663346622374	15	26	3.9644104418889946e-5	26
500	1e3	0.001	0.01	0.009900663346622374	15	27	5.788797129462067e-5	27
500	1e3	0.001	0.01	0.009900663346622374	15	28	7.502966247937915e-5	28
500	1e3	0.001	0.01	0.009900663346622374	15	29	-9.188586687884419e-6	29
500	1e3	0.001	0.01	0.009900663346622374	15	30	5.99412745438761e-5	30
500	1e3	0.001	0.01	0.009900663346622374	15	31	5.345624507843487e-5	31
500	1e3	0.001	0.01	0.009900663346622374	15	32	7.05940893395069e-5	32
500	1e3	0.001	0.01	0.009900663346622374	15	33	3.855242800774175e-6	33
500	1e3	0.001	0.01	0.009900663346622374	15	34	6.00152174585823e-5	34
500	1e3	0.001	0.01	0.009900663346622374	15	35	3.432065771849461e-5	35
500	1e3	0.001	0.01	0.009900663346622374	15	36	4.578916230512213e-5	36
500	1e3	0.001	0.01	0.009900663346622374	15	37	5.067217871509276e-5	37
500	1e3	0.001	0.01	0.009900663346622374	15	38	6.602059474763776e-5	38
500	1e3	0.001	0.01	0.009900663346622374	15	39	4.2031537012191386e-5	39
500	1e3	0.001	0.01	0.009900663346622374	15	40	2.6847012830792742e-5	40
500	1e3	0.001	0.01	0.009900663346622374	15	41	5.97827327960528e-5	41
500	1e3	0.001	0.01	0.009900663346622374	15	42	7.37371569691153e-5	42
500	1e3	0.001	0.01	0.009900663346622374	15	43	2.8009798267874343e-6	43
500	1e3	0.001	0.01	0.009900663346622374	15	44	2.3926155055935926e-5	44
500	1e3	0.001	0.01	0.009900663346622374	15	45	7.714831756963334e-5	45
500	1e3	0.001	0.01	0.009900663346622374	15	46	7.299411577000322e-5	46
500	1e3	0.001	0.01	0.009900663346622374	15	47	5.803394475255916e-5	47
500	1e3	0.001	0.01	0.009900663346622374	15	48	3.358555513152491e-5	48
500	1e3	0.001	0.01	0.009900663346622374	15	49	5.8262615186400945e-5	49
500	1e3	0.001	0.01	0.009900663346622374	15	50	1.516116607546965e-5	50
