L	N	Va	alpha	genlen	r	gen	kvar	zvar	zbar	genic_va	ac_var	ac_cov	type	pred	cov
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	1	2.0007207207207207	0.0098440244922913	0.012949398238178055	0.010002408259398939	0.005003705982690815	-9.853074038205037e-5	pred_zvar	5.111367777264883e-4	5.111367777264883e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	2	2.006786786786787	0.009811125928721255	0.013461220028635507	0.009994952269922697	0.00499997612302286	-1.064012000754916e-4	pred_zvar	5.084996915987065e-4	5.084996915987065e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	3	1.9972972972972973	0.009801911455564074	0.013398169518216835	0.010000129967357172	0.005002566266811992	-1.0512633660127967e-4	pred_zvar	5.0709764663623e-4	5.0709764663623e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	4	2.003363363363363	0.00981770340002511	0.012994543938335847	0.009995699545466318	0.005000349947707013	-9.797318418965935e-5	pred_zvar	5.069921990529116e-4	5.069921990529116e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	5	2.037297297297297	0.009832149342488387	0.013322457749113685	0.009989725700054311	0.004997361530792552	-1.1905601351548591e-4	pred_zvar	5.068179105692758e-4	5.068179105692758e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	6	2.0425025025025025	0.009700028918402822	0.023154756412374317	0.009968843909137678	0.004986915412274977	-1.6115366164402706e-4	pred_zvar	4.991030217686552e-4	4.991030217686552e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	7	2.0464064064064065	0.009624243091815147	0.03272001761974411	0.009938361414813234	0.004971666540676956	-1.881660529031749e-4	pred_zvar	4.94309545320717e-4	4.94309545320717e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	8	2.041121121121121	0.009566394781137924	0.04213615733594113	0.009902870723548375	0.004953912317933154	-2.1541333166088226e-4	pred_zvar	4.904531300131167e-4	4.904531300131167e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	9	2.037237237237237	0.009489565637884225	0.0514779920895555	0.009851218337108576	0.004928073205156866	-2.3560809754404483e-4	pred_zvar	4.8563937910223745e-4	4.8563937910223745e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	10	2.007287287287287	0.009374323950751282	0.06119812990568191	0.009797765789849719	0.004901333561705712	-2.722679811525235e-4	pred_zvar	4.7888078930914126e-4	4.7888078930914126e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	11	2.028968968968969	0.009249456260025737	0.07083897499065298	0.00974220673355592	0.004873540136846384	-3.0148099067536094e-4	pred_zvar	4.7165571411060677e-4	4.7165571411060677e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	12	2.023043043043043	0.009127977393165959	0.0801093183947257	0.00968548390651866	0.004845164535527094	-3.3055047852077426e-4	pred_zvar	4.6462912618897343e-4	4.6462912618897343e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	13	2.0463263263263265	0.008956437283814398	0.08929141666251264	0.009617352511467257	0.004811081796631945	-3.82839443807509e-4	pred_zvar	4.550841146634067e-4	4.550841146634067e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	14	2.027107107107107	0.008835006978112493	0.09815532087366337	0.009536039279688482	0.0047704048422653736	-4.432129137446753e-4	pred_zvar	4.481148389292309e-4	4.481148389292309e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	15	2.0408608608608607	0.008613087164291518	0.10686409269305375	0.009447394991454992	0.004726060525990491	-4.987188896890913e-4	pred_zvar	4.3608267989411227e-4	4.3608267989411227e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	16	2.0391791791791793	0.008424890857761451	0.11509685234250844	0.009362042092358408	0.0046833627275429755	-5.501297721919796e-4	pred_zvar	4.2579775499243256e-4	4.2579775499243256e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	17	2.0407407407407407	0.00825986077602608	0.12322052054087362	0.009264662661290031	0.004634648654972502	-6.086355023199639e-4	pred_zvar	4.1671814979961727e-4	4.1671814979961727e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	18	2.0165965965965964	0.008059215559625549	0.13126246606954808	0.009156647522993685	0.004580614068531108	-6.876850186479854e-4	pred_zvar	4.0587712820894917e-4	4.0587712820894917e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	19	2.0344944944944947	0.007827040262881958	0.13887252199642972	0.009054061394066153	0.004529295344705429	-7.334091577315177e-4	pred_zvar	3.9348936676331304e-4	3.9348936676331304e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	20	2.012832832832833	0.007575719816422132	0.14671559623970654	0.008936330357025717	0.00447040037870221	-8.10689279495965e-4	pred_zvar	3.8018455319219603e-4	3.8018455319219603e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	21	2.025125125125125	0.00733138723544253	0.15444689331035472	0.008810384029860526	0.0044073957127866575	-8.750012967565838e-4	pred_zvar	3.6727667900021243e-4	3.6727667900021243e-4
500	1000	0.01	0.012789150186343174	0.01	0.009900663346622374	22	2.030990990990991	0.007064781100322898	0.1618741922810735	0.008705020491799598	0.004354687589694647	-9.455660151213861e-4	pred_zvar	3.5330031909158694e-4	3.5330031909158694e-4
