rep	L	N	Va	genlen	Nest	va0_est	emp_va	Ne_est
24	500	1000	0.001	0.01	1258.656918974945	1.4357857038496493e-4	0.0011508489975599904	894.7327065082685
24	500	1000	0.001	0.01	986.0087879251096	-8.071445565614786e-4	0.0011508489975599904	894.7327065082685
24	500	1000	0.001	0.01	951.8228552223989	-5.234533741574907e-4	0.0011508489975599904	894.7327065082685
25	500	1000	0.001	0.01	3019.7469204785334	0.002136906863641818	9.7576359295707e-4	894.7327065082685
25	500	1000	0.001	0.01	2588.9017601371975	0.001328855787070197	9.7576359295707e-4	894.7327065082685
25	500	1000	0.001	0.01	1353.7124318253352	0.0010369016987470195	9.7576359295707e-4	894.7327065082685
25	500	1000	0.001	0.01	1281.4722875600182	0.0011090103379485928	9.7576359295707e-4	894.7327065082685
26	500	1000	0.001	0.01	423.75550518418606	0.005347006941470616	0.0016273017388855945	894.7327065082685
26	500	1000	0.001	0.01	1047.6093912040415	0.007500710314858212	0.0016273017388855945	894.7327065082685
26	500	1000	0.001	0.01	1199.054111881561	0.007435657646794131	0.0016273017388855945	894.7327065082685
26	500	1000	0.001	0.01	542.5112567393757	0.005664857747303771	0.0016273017388855945	894.7327065082685
27	500	1000	0.001	0.01	989.1401923717254	-1.1977059044794325e-4	7.127664474490359e-4	894.7327065082685
27	500	1000	0.001	0.01	813.8834610626159	-8.30201363314414e-5	7.127664474490359e-4	894.7327065082685
27	500	1000	0.001	0.01	675.4994463556679	-9.348396657335069e-4	7.127664474490359e-4	894.7327065082685
27	500	1000	0.001	0.01	561.9948057595129	-0.0013317098603845764	7.127664474490359e-4	894.7327065082685
28	500	1000	0.001	0.01	1147.4019018466824	4.1860999748399565e-4	0.001135942342981544	894.7327065082685
28	500	1000	0.001	0.01	956.6367363708606	2.763513653342541e-5	0.001135942342981544	894.7327065082685
28	500	1000	0.001	0.01	-23438.29270236325	0.0017707603569924206	0.001135942342981544	894.7327065082685
28	500	1000	0.001	0.01	2603.172237609459	0.0010415356564001262	0.001135942342981544	894.7327065082685
29	500	1000	0.001	0.01	740.4008912071822	-7.732134712587749e-4	4.7602035709828e-4	894.7327065082685
29	500	1000	0.001	0.01	920.1022029995114	-4.145895081402331e-4	4.7602035709828e-4	894.7327065082685
29	500	1000	0.001	0.01	670.5831217411194	-0.0015550013714200597	4.7602035709828e-4	894.7327065082685
29	500	1000	0.001	0.01	8118.3827405084285	8.389244470817621e-4	4.7602035709828e-4	894.7327065082685
30	500	1000	0.001	0.01	603.8670848851527	-0.0016633985971072802	8.92077556907704e-4	894.7327065082685
30	500	1000	0.001	0.01	706.7457560059627	-4.2800983561429437e-4	8.92077556907704e-4	894.7327065082685
30	500	1000	0.001	0.01	1165.491627084401	1.2041045370693673e-4	8.92077556907704e-4	894.7327065082685
30	500	1000	0.001	0.01	702.1242038271286	-9.095747181144891e-4	8.92077556907704e-4	894.7327065082685
1	500	1000	0.001	0.1	1216.9490115207336	-7.366325147327287e-4	0.0011365228338285954	956.7532850330175
1	500	1000	0.001	0.1	1625.772817501155	-0.001405655677910648	0.0011365228338285954	956.7532850330175
1	500	1000	0.001	0.1	705.8829814927653	-0.004295826467414583	0.0011365228338285954	956.7532850330175
1	500	1000	0.001	0.1	1433.5368082247378	2.620937515196271e-4	0.0011365228338285954	956.7532850330175
2	500	1000	0.001	0.1	23362.174674916376	0.010231590806043196	0.0012911877967406566	956.7532850330175
2	500	1000	0.001	0.1	2047.372040048215	0.005320913292355415	0.0012911877967406566	956.7532850330175
2	500	1000	0.001	0.1	1378.5224457041938	0.005764982830991734	0.0012911877967406566	956.7532850330175
2	500	1000	0.001	0.1	1055.4051712779815	0.00331933051323859	0.0012911877967406566	956.7532850330175
3	500	1000	0.001	0.1	1752.062192925717	0.0020282461961070803	7.06774809374501e-4	956.7532850330175
3	500	1000	0.001	0.1	1023.1786504330848	-4.0680476193535246e-4	7.06774809374501e-4	956.7532850330175
3	500	1000	0.001	0.1	674.6991946842672	-0.004965147187022656	7.06774809374501e-4	956.7532850330175
3	500	1000	0.001	0.1	1817.5031533102328	0.0014526608833712994	7.06774809374501e-4	956.7532850330175
4	500	1000	0.001	0.1	688.8923890630948	-0.004337317967589707	0.0016120323982757314	956.7532850330175
4	500	1000	0.001	0.1	664.8217037318745	-0.001350626464059286	0.0016120323982757314	956.7532850330175
4	500	1000	0.001	0.1	876.6184899173159	-2.0354929996994317e-4	0.0016120323982757314	956.7532850330175
4	500	1000	0.001	0.1	826.259103657109	0.0025576768245023462	0.0016120323982757314	956.7532850330175
5	500	1000	0.001	0.1	615.1684954091527	-0.002641371141950528	7.334007809020126e-4	956.7532850330175
5	500	1000	0.001	0.1	1084.4667726195567	0.0017393591303045857	7.334007809020126e-4	956.7532850330175
5	500	1000	0.001	0.1	1224.4715418783942	0.0013913859927699181	7.334007809020126e-4	956.7532850330175
5	500	1000	0.001	0.1	1545.3257118772287	0.004648726714676935	7.334007809020126e-4	956.7532850330175
6	500	1000	0.001	0.1	506.20798891978603	-0.005638697719759916	7.096725482984061e-4	956.7532850330175
6	500	1000	0.001	0.1	1096.9787507638318	0.0012679604471238651	7.096725482984061e-4	956.7532850330175
6	500	1000	0.001	0.1	1295.6687851496263	0.003653460046585202	7.096725482984061e-4	956.7532850330175
6	500	1000	0.001	0.1	1278.177181894036	0.004031742230289983	7.096725482984061e-4	956.7532850330175
7	500	1000	0.001	0.1	1563.7689185417614	6.493040962664134e-4	8.007055633561598e-4	956.7532850330175
7	500	1000	0.001	0.1	2536.7547389284186	0.002137817660804209	8.007055633561598e-4	956.7532850330175
7	500	1000	0.001	0.1	753.2999480364522	-0.0018142333703153007	8.007055633561598e-4	956.7532850330175
7	500	1000	0.001	0.1	1030.5920062007099	-0.0019528303247712884	8.007055633561598e-4	956.7532850330175
8	500	1000	0.001	0.1	681.4151205103453	-0.005866778267508223	8.113510336354635e-4	956.7532850330175
8	500	1000	0.001	0.1	1117.94491535818	-0.0030592000772193596	8.113510336354635e-4	956.7532850330175
8	500	1000	0.001	0.1	1222.3335675214262	-0.002747222347371598	8.113510336354635e-4	956.7532850330175
8	500	1000	0.001	0.1	660.8420352426022	-0.006918365613124949	8.113510336354635e-4	956.7532850330175
9	500	1000	0.001	0.1	874.135896627924	-0.003989338231927318	0.001058593357935785	956.7532850330175
9	500	1000	0.001	0.1	1173.7857209230176	-5.652871477539253e-4	0.001058593357935785	956.7532850330175
9	500	1000	0.001	0.1	697.3633843381748	-0.007471166155281543	0.001058593357935785	956.7532850330175
9	500	1000	0.001	0.1	6095.0237217303065	0.0035842412489275376	0.001058593357935785	956.7532850330175
10	500	1000	0.001	0.1	852.9433376969702	-0.0018284692576635046	0.001178814723297722	956.7532850330175
10	500	1000	0.001	0.1	1042.1563578793616	-0.004533246775823675	0.001178814723297722	956.7532850330175
10	500	1000	0.001	0.1	896.031835120383	-0.0012674832795728647	0.001178814723297722	956.7532850330175
10	500	1000	0.001	0.1	1175.4619757494704	-9.195952919724002e-4	0.001178814723297722	956.7532850330175
11	500	1000	0.001	0.1	-13732.041100442453	0.010301894173629558	0.0011508200507875299	956.7532850330175
11	500	1000	0.001	0.1	646.1962964073296	-0.0017606382044091475	0.0011508200507875299	956.7532850330175
11	500	1000	0.001	0.1	1300.0727848462996	0.0066040453288978476	0.0011508200507875299	956.7532850330175
11	500	1000	0.001	0.1	2485.8593611631413	0.008107925513563962	0.0011508200507875299	956.7532850330175
12	500	1000	0.001	0.1	780.9582275174262	-8.400889500089278e-4	0.0012367226761144923	956.7532850330175
12	500	1000	0.001	0.1	1143.91831755748	0.0032310300513826414	0.0012367226761144923	956.7532850330175
12	500	1000	0.001	0.1	957.9167717813633	-4.3950967539653566e-4	0.0012367226761144923	956.7532850330175
12	500	1000	0.001	0.1	934.6668410332373	0.0018448722248767427	0.0012367226761144923	956.7532850330175
13	500	1000	0.001	0.1	580.2822788779097	-0.003851747898260056	0.0010999579683296447	956.7532850330175
13	500	1000	0.001	0.1	716.5808053510052	-6.16288710194092e-4	0.0010999579683296447	956.7532850330175
13	500	1000	0.001	0.1	1517.845925006426	0.006840262074710992	0.0010999579683296447	956.7532850330175
13	500	1000	0.001	0.1	741.1053319020299	0.0014207680941222124	0.0010999579683296447	956.7532850330175
14	500	1000	0.001	0.1	4421.363294114735	0.004740245173606816	0.001392597640311576	956.7532850330175
14	500	1000	0.001	0.1	706.5584239374264	-0.0036591006805129613	0.001392597640311576	956.7532850330175
14	500	1000	0.001	0.1	1025.6851433107547	-0.0023382706926918595	0.001392597640311576	956.7532850330175
14	500	1000	0.001	0.1	732.4632131400068	-0.003666846040975623	0.001392597640311576	956.7532850330175
15	500	1000	0.001	0.1	679.3961657450391	-0.005879597462219729	0.0010497097604682717	956.7532850330175
15	500	1000	0.001	0.1	1780.914607045762	0.0025038436716866945	0.0010497097604682717	956.7532850330175
15	500	1000	0.001	0.1	18334.89696316806	0.005969238601337622	0.0010497097604682717	956.7532850330175
15	500	1000	0.001	0.1	1693.55742155039	0.004336614989163938	0.0010497097604682717	956.7532850330175
16	500	1000	0.001	0.1	1149.138005293145	0.00294078323899489	0.00101537936313579	956.7532850330175
16	500	1000	0.001	0.1	1092.2534919609338	0.0022692390363990285	0.00101537936313579	956.7532850330175
16	500	1000	0.001	0.1	4561.5484058692855	0.007872664992799129	0.00101537936313579	956.7532850330175
16	500	1000	0.001	0.1	7563.797901637744	0.008630751833065317	0.00101537936313579	956.7532850330175
17	500	1000	0.001	0.1	1261.062300058313	6.979498630144742e-4	0.0012875759992266387	956.7532850330175
17	500	1000	0.001	0.1	548.9606994482912	-0.008199741661495027	0.0012875759992266387	956.7532850330175
17	500	1000	0.001	0.1	2088.29296004827	0.002627715729462296	0.0012875759992266387	956.7532850330175
17	500	1000	0.001	0.1	976.8836266734696	-0.0019181982241889262	0.0012875759992266387	956.7532850330175
18	500	1000	0.001	0.1	1303.1829916500296	0.003640847301578391	5.274317897011691e-4	956.7532850330175
18	500	1000	0.001	0.1	1235.0123167285285	7.75034340107807e-4	5.274317897011691e-4	956.7532850330175
18	500	1000	0.001	0.1	891.7967278669678	-0.0016474238634992216	5.274317897011691e-4	956.7532850330175
18	500	1000	0.001	0.1	832.6015587022529	-0.002984606793194035	5.274317897011691e-4	956.7532850330175
19	500	1000	0.001	0.1	702.0708424507418	-0.005410943116215562	8.913312279055328e-4	956.7532850330175
19	500	1000	0.001	0.1	1293.214646597912	0.0023194360110789882	8.913312279055328e-4	956.7532850330175
19	500	1000	0.001	0.1	836.9656203894	-0.003079371426656998	8.913312279055328e-4	956.7532850330175
19	500	1000	0.001	0.1	1893.8376994738499	0.0030152388437911333	8.913312279055328e-4	956.7532850330175
20	500	1000	0.001	0.1	804.9768018716634	0.001911775763790257	9.439263346384011e-4	956.7532850330175
20	500	1000	0.001	0.1	1776.9060779494278	0.00864380160492671	9.439263346384011e-4	956.7532850330175
20	500	1000	0.001	0.1	1061.6083745266073	0.004417931176910795	9.439263346384011e-4	956.7532850330175
20	500	1000	0.001	0.1	711.8872325996417	-5.157816654733691e-4	9.439263346384011e-4	956.7532850330175
21	500	1000	0.001	0.1	3138.5851272424125	0.007946988753115579	9.233056231959941e-4	956.7532850330175
21	500	1000	0.001	0.1	1186.4728295718683	0.0034366621179737983	9.233056231959941e-4	956.7532850330175
21	500	1000	0.001	0.1	834.2560906456787	-0.0011326527959790655	9.233056231959941e-4	956.7532850330175
21	500	1000	0.001	0.1	6318.655193132947	0.008862744995474191	9.233056231959941e-4	956.7532850330175
22	500	1000	0.001	0.1	733.0790167304687	2.283891990211832e-4	0.0011691010509337302	956.7532850330175
22	500	1000	0.001	0.1	891.9411580574067	0.0022124324298552086	0.0011691010509337302	956.7532850330175
22	500	1000	0.001	0.1	414.3629792863014	-0.010202802964529783	0.0011691010509337302	956.7532850330175
22	500	1000	0.001	0.1	1209.509808511427	0.00407190276639881	0.0011691010509337302	956.7532850330175
23	500	1000	0.001	0.1	918.2374797269478	-0.001993435152751567	0.0016425335043581289	956.7532850330175
23	500	1000	0.001	0.1	878.1708221383889	-0.002698161221581144	0.0016425335043581289	956.7532850330175
23	500	1000	0.001	0.1	2365.820728502248	0.0033561534114146317	0.0016425335043581289	956.7532850330175
23	500	1000	0.001	0.1	817.8864253812161	-2.698150202722786e-4	0.0016425335043581289	956.7532850330175
24	500	1000	0.001	0.1	1015.2843130606261	-0.0018107034066704975	9.194607615948862e-4	956.7532850330175
24	500	1000	0.001	0.1	1509.9303837879165	1.1285172132741813e-4	9.194607615948862e-4	956.7532850330175
24	500	1000	0.001	0.1	741.8481270259603	-0.002171080536927919	9.194607615948862e-4	956.7532850330175
24	500	1000	0.001	0.1	929.8988310431263	-0.0023815390832644403	9.194607615948862e-4	956.7532850330175
25	500	1000	0.001	0.1	701.0794260856271	0.001021342514811491	8.832105612655725e-4	956.7532850330175
25	500	1000	0.001	0.1	1700.8922918229919	0.006177041129498426	8.832105612655725e-4	956.7532850330175
25	500	1000	0.001	0.1	1895.7108801925554	0.006108578269621135	8.832105612655725e-4	956.7532850330175
25	500	1000	0.001	0.1	1910.2523210789218	0.007045326964174848	8.832105612655725e-4	956.7532850330175
26	500	1000	0.001	0.1	667.2824199636573	-5.004752905494123e-4	0.00122375543891829	956.7532850330175
26	500	1000	0.001	0.1	475.4116704881847	-0.007108695643942611	0.00122375543891829	956.7532850330175
26	500	1000	0.001	0.1	9216.379954810522	0.012097706038498683	0.00122375543891829	956.7532850330175
26	500	1000	0.001	0.1	1091.5166187532861	0.0026882486961122844	0.00122375543891829	956.7532850330175
27	500	1000	0.001	0.1	-7363.3598709261805	0.007663267956832238	0.001025642025447391	956.7532850330175
27	500	1000	0.001	0.1	1602.9429472245722	0.002165753293127994	0.001025642025447391	956.7532850330175
27	500	1000	0.001	0.1	1371.5645528747568	6.436135022929855e-4	0.001025642025447391	956.7532850330175
27	500	1000	0.001	0.1	910.2776390808932	-0.0022031940349289424	0.001025642025447391	956.7532850330175
28	500	1000	0.001	0.1	1784.5106469004643	0.0032960689675431993	0.0011702013721120149	956.7532850330175
28	500	1000	0.001	0.1	7174.823855075183	0.005965563577375455	0.0011702013721120149	956.7532850330175
28	500	1000	0.001	0.1	1382.4483010247654	7.65240378013383e-4	0.0011702013721120149	956.7532850330175
28	500	1000	0.001	0.1	1856.6243651697225	0.004562542953045889	0.0011702013721120149	956.7532850330175
29	500	1000	0.001	0.1	2230.920171523595	0.004359554594689403	0.0014806420812114819	956.7532850330175
29	500	1000	0.001	0.1	789.9689970995097	-0.005201723053887024	0.0014806420812114819	956.7532850330175
29	500	1000	0.001	0.1	-4563.671574873901	0.008891845175948397	0.0014806420812114819	956.7532850330175
