L	N	Va	alpha	genlen	r	gen	kvar	zvar	zbar	genic_va	ac_var	ac_cov	type	pred	cov
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	1	2.0325839035516453	0.010155891071904535	0.007986646540269773	0.009241098370747276	0.004643768025501143	4.420444116819205e-4	pred_zvar	0.0015266593366543239	0.0015266593366543239
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	2	1.9782773976322363	0.009803410142764748	0.0068162607727586194	0.009175203951910713	0.004610655252216439	4.449651932180593e-4	pred_zvar	0.0014696354029006403	0.0014696354029006403
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	3	2.0336700336700337	0.010061098883733438	0.0071953998242058935	0.00913483967176241	0.00459037169435297	3.468269336037936e-4	pred_zvar	0.0015041399771690848	0.0015041399771690848
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	4	1.9711089388508742	0.00966032205584053	0.0066843863200813074	0.009025412607384781	0.004535383219791347	2.4491070656778294e-4	pred_zvar	0.0014402799556257314	0.0014402799556257314
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	5	2.058433800369284	0.009527935901026378	0.005769507304632448	0.008802410857731514	0.004423322039061063	7.675940867474506e-5	pred_zvar	0.0014166699442134019	0.0014166699442134019
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	6	2.015423047681112	0.008957261912390296	0.015602396182384603	0.008814806337094635	0.004429550923163133	6.0907819316113115e-05	pred_zvar	0.0013281946654134361	0.0013281946654134361
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	7	2.034321711741067	0.009052590154405906	0.021899401297726304	0.008684104157143454	0.00436387143575048	2.822363897421168e-6	pred_zvar	0.0013386837180904161	0.0013386837180904161
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	8	2.031063321385902	0.009057899640103922	0.031328424664154184	0.008624701254640025	0.004334020730974887	-5.6456802236040656e-5	pred_zvar	0.001335836626021246	0.001335836626021246
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	9	2.0134680134680134	0.00851515150412953	0.04071623726412041	0.008533586268210408	0.004288234305633371	-9.524605094098045e-5	pred_zvar	0.001252394042343893	0.001252394042343893
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	10	2.0664711632453567	0.008369140647434046	0.04930456099473043	0.008456995852145629	0.004249746659369663	-1.3402895012084172e-4	pred_zvar	0.0012275927046158576	0.0012275927046158576
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	11	2.0475724991854025	0.008141458158571221	0.05797530625826376	0.008396522086363887	0.004219357832343662	-1.8010745361597157e-4	pred_zvar	0.0011909745749011083	0.0011909745749011083
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	12	2.005430650591941	0.007993583876606723	0.06468441903822206	0.008256630699107072	0.004149060652817624	-1.3476866979249426e-4	pred_zvar	0.0011661938149169905	0.0011661938149169905
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	13	1.9980449657869013	0.008122345286377036	0.07161606995707333	0.008162821180593678	0.004101920191253105	-1.989306207113708e-4	pred_zvar	0.0011817934632022216	0.0011817934632022216
