Va	genlen	pred_cov_zvar	pred_var_zvar	pred_cov_ssh	pred_var_ssh
0.001	0.005	0.008791538584402545	0.00638367064440124	0.008758155211347074	0.006377328984790249
0.001	0.01	0.0056469286576122935	0.006067860394314165	0.005597874457233108	0.006062786315953882
0.001	0.05	0.0019075238586029337	0.005694919241301497	0.0019231640468161924	0.005696921500126239
0.001	0.1	0.001086797373681883	0.005613512400803294	0.001081541080685395	0.005612783650861368
0.001	0.5	2.872359205939896e-4	0.005532822319532603	2.8782964140452967e-4	0.00553291057828986
0.001	1.5	1.0572448485674349e-4	0.005513864537264214	1.0593866631877305e-4	0.005513874322596621
0.002	0.005	0.017222292182353306	0.007219631783152379	0.017236480764383753	0.007227144014481119
0.002	0.01	0.010433585647209241	0.006540834921075081	0.010546368904914508	0.006558515455661201
0.002	0.05	0.0037760495269630835	0.005887032691870515	0.003772845559308154	0.005886293397613509
0.002	0.1	0.002139108141911026	0.005723576404545108	0.0021284010097028534	0.005721924219725838
0.002	0.5	5.888224459822784e-4	0.005567199138378588	5.870832078345318e-4	0.005567119387557684
0.002	1.5	2.150792984363137e-4	0.005528163446518864	2.1397905789056622e-4	0.005528024347633506
0.005	0.005	0.0417083174671118	0.009620793382429611	0.04207764390939582	0.00969444903150902
0.005	0.01	0.02931509185327966	0.008425546952126457	0.029067201718451008	0.008407749567617556
0.005	0.05	0.009552741258572256	0.006473717691377288	0.009534757727800276	0.006474982666166429
0.005	0.1	0.005344374087962224	0.006054968976170093	0.005344502517581238	0.0060568328095406045
0.005	0.5	0.0014501032581042076	0.005665567966651892	0.0014485551538482295	0.0056655645273066095
0.005	1.5	5.340178274258448e-4	0.005569991318552466	5.329816071160348e-4	0.005569789877568899
0.01	0.005	0.08181796009812098	0.013572978135974318	0.08174963968470776	0.013589927881528654
0.01	0.01	0.05368381443376387	0.010776799002570597	0.05477959230788528	0.010959645777878361
0.01	0.05	0.019375835668541272	0.007479186857949764	0.01918149967179126	0.007460964577311431
0.01	0.1	0.010924068897031358	0.006636080334283593	0.010945646070729937	0.006638843361498176
0.01	0.5	0.002881481012189438	0.005829513686581821	0.0028877308693860113	0.005829967897649704
0.01	1.5	0.0010699746550660522	0.005639628519048612	0.0010759872928423	0.005640856705988783
0.02	0.005	0.15231712955300664	0.019851468989679547	0.15834827646632627	0.021087238433072156
0.02	0.01	0.10880947393585325	0.01602853760007794	0.1104386507095692	0.016415395124451414
0.02	0.05	0.037238442853244846	0.009281411973062106	0.03700099768532184	0.009262169945676472
0.02	0.1	0.02253815804314049	0.007817029068222434	0.022587129545372165	0.007842960403671693
0.02	0.5	0.0058223778959672024	0.0061656327509025145	0.005796803274752321	0.006162047827873553
0.02	1.5	0.002137931546471883	0.0057796547964436154	0.0021197588057312224	0.005777461532874342
0.05	0.005	0.39573156029872925	0.039479058052709334	0.4418764735796602	0.04758438290578144
0.05	0.01	0.26967824741948215	0.029837747594026763	0.2837614119463105	0.032844335151812835
0.05	0.05	0.08572613355761326	0.013826447464480618	0.08864732215584993	0.014437743484053134
0.05	0.1	0.053557125809095524	0.01088794419549808	0.05483316969735996	0.011145004439367416
0.05	0.5	0.014066907260999868	0.007098062117038865	0.01414353777420489	0.007111966485431208
0.05	1.5	0.00540289482313205	0.006204152009774369	0.005430839758137829	0.006210572503001941
0.08	0.005	0.5746469671265646	0.054052603729156073	0.6322168301671383	0.0647493931847151
0.08	0.01	0.38328007731348074	0.039520260297605005	0.39863571168927836	0.043411331607705675
0.08	0.05	0.14796283697560234	0.019294720316937474	0.15170955215606746	0.02055517980397841
0.08	0.1	0.0844541073661583	0.013895656515403861	0.08519569235234789	0.014192749531532649
0.08	0.5	0.022088683950534836	0.007987804326824235	0.02229692437223167	0.008034763019176413
0.08	1.5	0.00840005879185496	0.006598345843639421	0.008417178339729865	0.0066002937864429395
0.1	0.005	0.6676442511415989	0.06166862364239833	0.7513896231618612	0.07525648129252616
0.1	0.01	0.49278303858080325	0.04734061802198944	0.5426130975449344	0.05666873323166736
0.1	0.05	0.1679413632958969	0.021201736745064363	0.17438005926143468	0.022751293804197627
0.1	0.1	0.10439591346329864	0.015611398733446016	0.11006617629280337	0.01667983607326378
0.1	0.5	0.02775024680752521	0.008612578776492963	0.027882844999883614	0.00866468287688029
0.1	1.5	0.010742415176219558	0.006903900291101925	0.010608724190632511	0.006885310851234076
