L	N	Va	alpha	genlen	r	gen	kvar	zbar	ac_var	ac_cov	neut_ssh	sel_ssh	sel_het	neut_het	neut_ssh_delta	neut_ssh0	sel_ssh0	zvar0	var_type	variance	cov
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	6	1.9896492236917769	0.009957114223385037	5.011786599668985e-4	4.957749018051563e-5	67.43388921276596	61.252242021276594	0.1225044840425532	0.12358475338753389	0.9989666351841167	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.0010992740106067402	5.6561788120515426e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	7	2.0030881945775563	0.010936261289434368	5.006237270430132e-4	4.975380033793856e-5	67.36420540425532	61.18442012765957	0.12236884025531915	0.12345704525160359	0.9994222264615817	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.001102520961601679	5.66264411691102e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	8	1.9932272698230145	0.011833145889964484	5.003058232761351e-4	4.606818486092099e-5	67.32528414893616	61.145567079787234	0.12229113415957447	0.1233857150377259	0.999207602794468	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.0010980499341034008	5.629519159647829e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	9	1.9984239558707644	0.013075644708860636	4.99605374896753e-4	4.6713659761925985e-5	67.27193578191489	61.05996081382979	0.12211992162765958	0.12328794454192743	0.9984498469285855	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.001090105286071913	5.5787385269834576e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	10	1.9925031414393117	0.014031644700407176	4.990032192662725e-4	4.5073075890304397e-5	67.16765398404256	60.986367531914894	0.12197273506382979	0.12309682935602738	0.999439314719812	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.0010946336870235158	5.591859709565362e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	11	1.996059889676911	0.015180350540834765	4.988548995761744e-4	4.3812137909477925e-5	67.12999406914894	60.96824043617021	0.12193648087234042	0.12302781077576963	0.9985408851334096	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.0010876349703006713	5.546155732698219e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	12	2.004046599791281	0.016332455301124288	4.978642459055277e-4	4.33272208463239e-5	67.03204369680851	60.847166329787235	0.12169433265957447	0.12284829906806263	0.9985222851755962	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.0010830697884574461	5.51300411621769e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	13	2.0058356228568996	0.017564068971601843	4.967777829170478e-4	4.16389451402704e-5	66.93298945212766	60.71438275531915	0.1214287655106383	0.12266676431537696	0.9981938099117159	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.0010863464498154542	5.5198177206623963e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	14	1.9981683811471045	0.018680205415377734	4.958684990975424e-4	4.0889887648574944e-5	66.81209575	60.60325337765958	0.12120650675531916	0.12244520482150864	0.9986547420147475	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.0010815610703172275	5.485717962849581e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	15	2.0223414904265966	0.01952782719006083	4.946239166130842e-4	3.820372511187159e-5	66.72221624468085	60.4511450106383	0.1209022900212766	0.12228048443196662	0.998301446718345	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.001074141112494977	5.438402351983892e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	16	1.9901390752454582	0.020674381815385928	4.936243922090064e-4	3.6646432474321086e-5	66.60888500531915	60.32898675531915	0.1206579735106383	0.12207278451385234	0.9978308632263794	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.0010656363313879622	5.385773717476138e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	17	2.0024492577684065	0.02161652798167243	4.929023719137381e-4	3.6816040880116744e-5	66.46440122340425	60.24074404787234	0.12048148809574467	0.12180799194790508	0.9986752479606659	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.001060868912293299	5.352188642136989e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	18	2.008796030072626	0.022685552814703795	4.921398759703094e-4	3.5800270873704214e-5	66.37635237234042	60.14755455319149	0.12029510910638298	0.12164662656216489	0.9992235862002727	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.0010644058153982175	5.3605462269432835e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	19	2.006794028070624	0.023728677017901177	4.913099175812199e-4	3.4379378188300674e-5	66.32481685638298	60.04612004255319	0.12009224008510638	0.12155217844261176	0.9973591605707917	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.0010480085349348705	5.268660961534763e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	20	2.015355781313228	0.024748352976481418	4.901374050401885e-4	3.629436654767287e-5	66.14966366489362	59.90281980319149	0.11980563960638298	0.12123117865707435	0.9979555473317584	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.0010527034529823312	5.2829513447474165e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	21	2.0083274764125827	0.025627726686077264	4.892446579442812e-4	3.4185188162816666e-5	66.01442380851064	59.793711484042554	0.11958742296808511	0.12098332725039482	0.997531499820494	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.0010559787810177773	5.2900817721366977e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	22	2.0234702787894276	0.026853747197288343	4.878201182567258e-4	3.2622481862279015e-5	65.85146719148936	59.61960939893617	0.11923921879787235	0.12068467988536	0.9975640655671874	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.0010476112840618582	5.238964883513307e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	23	1.9965923370178689	0.027760183192873517	4.86475383529274e-4	3.210306877910485e-5	65.69105733510638	59.455260787234046	0.11891052157446809	0.12039069991811428	0.9974081462742549	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.0010452701762169512	5.218113201967126e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	24	1.9949736971013567	0.02874531063690777	4.8514320039782437e-4	3.139253530457927e-5	65.52079572340425	59.29244618617021	0.11858489237234042	0.12007866483398645	0.9981509070331711	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.0010434024922852372	5.199695502163565e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	25	2.0157391433987177	0.02981244240064894	4.8428393472799283e-4	2.9737455430681503e-5	65.39964168085106	59.18742984574468	0.11837485969148936	0.11985662821937572	0.997994295488298	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.0010347567367455966	5.14762489417258e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	26	1.9912891615019275	0.030789094057179382	4.832701408121539e-4	2.7586281508778053e-5	65.26846932446809	59.06352762234042	0.11812705524468084	0.11961623123939873	0.9981282279472314	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.0010284847539731243	5.107525633836107e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	27	1.9934828445466743	0.03171730034960175	4.8231734195841597e-4	2.5102719351153597e-5	65.14630162765957	58.94707999468085	0.1178941599893617	0.11939233692070732	0.9975282593698317	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.0010239219426746498	5.076040615315617e-5
500	1e3	0.001	0.0040442843926811285	0.01	0.009900663346622374	28	1.9924818435456733	0.03276477000730616	4.811995156479909e-4	2.4801682468720634e-5	64.98527686702128	58.81046330851064	0.11762092661702128	0.11909723003060967	0.9973551303711747	67.52904942553191	61.313631787234044	0.0011079481165378548	additive genetic	0.0010213130952988591	5.054336484321576e-5
